Time (s), Sensor Value (ADC)
0.20, 0
0.25, 0
0.26, 0
0.34, 0
0.38, 0
0.40, 0
0.43, 0
0.49, 0
0.60, 0
0.70, 0
0.82, 0
0.89, 0
0.99, 0
1.12, 0
1.19, 0
1.30, 0
1.40, 0
1.49, 0
1.59, 0
1.70, 0
1.82, 0
1.89, 0
2.00, 0
2.09, 0
2.20, 0
2.30, 0
2.39, 0
2.49, 0
2.59, 0
2.69, 0
2.80, 0
2.89, 0
3.00, 0
3.12, 0
3.19, 0
3.30, 0
3.40, 0
3.50, 0
3.60, 0
3.72, 0
3.79, 0
3.90, 0
4.01, 0
4.11, 0
4.19, 0
4.30, 0
4.41, 0
4.50, 0
4.61, 0
4.71, 0
4.80, 0
4.90, 0
5.00, 0
5.10, 0
5.20, 0
5.30, 0
5.40, 0
5.50, 0
5.60, 0
5.70, 0
5.80, 0
5.90, 0
6.01, 0
6.11, 1793
6.21, 4095
6.30, 4095
6.40, 4095
6.51, 4095
6.61, 4095
6.71, 4095
6.80, 4095
6.91, 4095
7.01, 4095
7.11, 4095
7.21, 4095
7.30, 4095
7.39, 4095
7.49, 4095
7.59, 4095
7.71, 4095
7.81, 4095
7.91, 4095
8.00, 4095
8.09, 4095
8.21, 4095
8.31, 4095
8.41, 4095
8.49, 4095
8.59, 4095
8.69, 4095
8.79, 4095
8.89, 4095
8.99, 4095
9.09, 4095
9.20, 4095
9.29, 4095
9.39, 4095
9.51, 4095
9.61, 4095
9.69, 4095
9.79, 2751
9.91, 0
9.99, 0
10.11, 0
10.21, 0
10.29, 0
10.39, 0
10.49, 0
10.59, 0
10.71, 0
10.81, 0
10.89, 0
10.99, 0
11.11, 0
11.19, 0
11.31, 0
11.41, 0
11.49, 0
11.59, 15
11.69, 0
11.79, 391
11.89, 0
11.99, 0
12.09, 0
12.21, 0
12.29, 0
12.39, 444
12.49, 0
12.59, 0
12.69, 0
12.79, 0
12.89, 0
12.99, 0
13.09, 0
13.19, 0
13.29, 0
13.39, 0
13.49, 0
13.59, 0
13.69, 0
13.79, 0
13.89, 0
13.99, 0
14.09, 0
14.19, 0
14.29, 29
14.39, 320
14.49, 1693
14.59, 2288
14.69, 2609
14.79, 2768
14.89, 2759
14.99, 2720
15.09, 3210
15.19, 2818
15.29, 2784
15.39, 2864
15.49, 2711
15.59, 3408
15.69, 2807
15.79, 2655
15.89, 3113
15.99, 2729
16.09, 2692
16.19, 2647
16.29, 2729
16.39, 3434
16.49, 2667
16.59, 2621
16.69, 2693
16.79, 3087
16.89, 3117
16.99, 3066
17.09, 2938
17.19, 2689
17.30, 2608
17.40, 2607
17.49, 2946
17.59, 2658
17.69, 3287
17.79, 2608
17.89, 2541
17.99, 3309
18.09, 3266
18.20, 3216
18.29, 2624
18.39, 2544
18.49, 3118
18.59, 2535
18.69, 2775
18.79, 575
18.89, 0
18.99, 2888
19.09, 2741
19.20, 2451
19.29, 2624
19.39, 2485
19.49, 2660
19.60, 2670
19.69, 2541
19.80, 2678
19.89, 2506
20.00, 2558
20.09, 2611
20.20, 3435
20.30, 2512
20.39, 2928
20.49, 4095
20.62, 4095
20.69, 4095
20.80, 4095
20.90, 4095
20.99, 4095
21.10, 4095
21.20, 4095
21.30, 4095
21.40, 4095
21.50, 4095
21.60, 4095
21.70, 4095
21.80, 4095
21.90, 4095
22.00, 4095
22.10, 4095
22.21, 4095
22.31, 4095
22.41, 4095
22.50, 4095
22.60, 4095
22.70, 4095
22.80, 4095
22.90, 4095
23.00, 1439
23.10, 357
23.20, 362
23.30, 0
23.40, 315
23.50, 0
23.60, 361
23.70, 0
23.81, 271
23.91, 0
24.01, 0
24.10, 0
24.20, 378
24.30, 0
24.40, 0
24.49, 0
24.61, 0
24.71, 0
24.81, 0
24.89, 0
24.99, 0
25.10, 0
25.21, 0
25.29, 0
25.39, 0
25.50, 0
25.59, 0
25.69, 0
25.79, 0
25.89, 0
26.01, 0
26.11, 0
26.21, 0
26.30, 0
26.41, 0
26.51, 0
26.60, 0
26.69, 0
26.79, 0
26.89, 0
26.99, 0
27.11, 0
27.19, 0
27.29, 0
27.39, 0
27.49, 0
27.61, 0
27.71, 0
27.79, 4095
27.89, 4095
27.99, 4095
28.09, 4095
28.19, 2095
28.29, 4095
28.41, 606
28.49, 176
28.59, 0
28.71, 421
28.79, 799
28.89, 0
28.99, 0
29.09, 1248
29.21, 953
29.29, 0
29.41, 247
29.49, 0
29.59, 0
29.69, 103
29.81, 0
29.89, 0
29.99, 0
30.09, 0
30.19, 0
30.29, 0
30.39, 0
30.49, 0
30.61, 0
30.69, 0
30.79, 0
30.89, 0
30.99, 0
31.09, 0
31.19, 0
31.29, 0
31.41, 0
31.49, 0
31.59, 0
31.69, 0
31.79, 0
31.89, 0
31.99, 0
32.09, 0
32.19, 0
32.29, 0
32.39, 0
32.49, 0
32.59, 0
32.69, 0
32.79, 0
32.89, 0
32.99, 0
33.10, 0
33.19, 0
33.29, 0
33.39, 0
33.49, 0
33.59, 0
33.69, 0
33.79, 0
33.89, 341
33.99, 0
34.09, 0
34.19, 0
34.29, 0
34.40, 0
34.49, 0
34.59, 0
34.70, 0
34.79, 0
34.89, 17
34.99, 64
35.09, 128
35.19, 170
35.29, 175
35.39, 178
35.49, 176
35.59, 179
35.70, 176
35.79, 189
35.89, 183
35.99, 180
36.09, 175
36.19, 192
36.29, 173
36.39, 177
36.49, 185
36.59, 171
36.70, 177
36.79, 176
36.89, 176
36.99, 174
37.12, 176
37.19, 175
37.29, 193
37.39, 176
37.49, 176
37.60, 175
37.69, 181
37.80, 176
37.89, 186
38.00, 175
38.09, 482
38.20, 176
38.30, 173
38.39, 157
38.50, 176
38.59, 178
38.70, 173
38.80, 170
38.90, 138
38.99, 178
39.10, 171
39.19, 251
39.32, 971
39.40, 1725
39.49, 1680
39.60, 1744
39.70, 1793
39.80, 1723
39.90, 1745
40.00, 1889
40.10, 1936
40.20, 1933
40.30, 1817
40.40, 1929
40.49, 995
40.60, 1898
40.70, 1935
40.80, 2045
40.90, 2109
41.00, 2129
41.10, 2069
41.20, 2007
41.30, 1995
41.41, 1963
41.51, 1966
41.60, 2112
41.70, 2146
41.80, 1923
41.90, 1963
42.00, 2089
42.09, 2358
42.20, 2045
42.30, 2107
42.40, 2174
42.50, 2544
42.59, 2633
42.69, 2647
42.79, 2979
42.91, 3952
43.00, 4095
43.09, 4095
43.19, 4095
43.29, 4095
43.39, 4095
43.49, 4095
43.59, 4095
43.69, 4095
43.79, 4095
43.89, 4095
43.99, 4095
44.09, 4095
44.19, 642
44.29, 167
44.39, 177
44.49, 176
44.59, 189
44.69, 179
44.79, 178
44.89, 174
44.99, 170
45.09, 190
45.19, 184
45.29, 658
45.39, 2763
45.49, 3559
45.59, 4021
45.69, 4095
45.81, 1051
45.89, 2763
45.99, 176
46.09, 178
46.19, 163
46.29, 179
46.39, 170
46.49, 176
46.59, 195
46.69, 174
46.79, 174
46.89, 176
46.99, 173
47.09, 176
47.21, 174
47.29, 186
47.39, 173
47.49, 170
47.59, 176
47.69, 174
47.79, 174
47.89, 174
47.99, 168
48.09, 174
48.19, 176
48.29, 175
48.39, 176
48.49, 173
48.61, 171
48.71, 176
48.79, 172
48.89, 176
48.99, 173
49.09, 176
49.19, 168
49.29, 165
49.39, 166
49.49, 167
49.59, 183
49.69, 179
49.79, 172
49.89, 183
49.99, 173
50.09, 181
50.19, 139
50.29, 144
50.39, 189
50.50, 125
50.60, 95
50.69, 193
50.79, 273
50.89, 157
50.99, 158
51.09, 183
51.19, 0
51.29, 0
51.39, 0
51.49, 0
51.59, 0
51.69, 0
51.79, 0
51.89, 0
51.99, 0
52.08, 0
52.19, 0
52.29, 0
52.39, 0
52.49, 0
52.58, 0
52.70, 0
52.79, 0
52.89, 0
52.98, 0
53.08, 0
53.18, 0
53.28, 0
53.38, 0
53.49, 0
53.59, 0
53.69, 4095
53.78, 0
53.89, 0
53.98, 0
54.08, 0
54.20, 0
54.29, 0
54.38, 0
54.48, 0
54.58, 0
54.68, 0
54.78, 0
54.88, 0
54.98, 0
55.10, 0
55.18, 0
55.28, 0
55.38, 0
55.48, 0
55.60, 4095
55.70, 4095
55.78, 4095
55.88, 4095
56.00, 4095
56.08, 4095
56.20, 4095
56.28, 0
56.40, 0
56.50, 0
56.58, 0
56.70, 0
56.80, 0
56.90, 0
56.98, 0
57.10, 0
57.20, 0
57.30, 0
57.40, 0
57.50, 0
57.60, 0
57.70, 0
57.80, 0
57.90, 0
58.00, 0
58.10, 0
58.20, 0
58.30, 0
58.38, 0
58.50, 0
58.60, 0
58.70, 0
58.80, 0
58.90, 0
59.00, 0
59.10, 0
59.21, 0
