Sensor Name: yyyt5
Initial Resistance: 80 ohms
Start Time: 2024-11-07 01:31:04
Time (s), Voltage (V)
33.25, 0.2542
33.35, 0.2542
33.45, 0.2542
33.55, 0.2542
33.65, 0.2590
33.76, 0.2590
33.86, 0.2542
33.96, 0.2542
34.07, 0.2542
34.16, 0.2493
34.27, 0.2493
34.37, 0.2542
34.47, 0.2542
34.57, 0.2493
34.67, 0.2542
34.77, 0.2542
34.87, 0.2542
34.98, 0.2542
35.07, 0.2590
35.18, 0.2542
35.28, 0.2542
35.38, 0.2542
35.48, 0.2493
35.58, 0.2542
35.68, 0.2493
35.78, 0.2493
35.89, 0.2493
35.99, 0.2493
36.09, 0.2542
36.19, 0.2542
36.29, 0.2590
36.39, 0.2590
36.49, 0.2542
36.59, 0.2542
36.70, 0.2542
36.79, 0.2542
36.90, 0.2542
37.00, 0.2542
37.10, 0.2493
37.20, 0.2542
37.30, 0.2542
37.40, 0.2542
37.51, 0.2542
37.60, 0.2590
37.71, 0.2542
37.81, 0.2542
37.91, 0.2542
38.01, 0.2590
38.11, 0.2590
38.21, 0.2542
38.31, 0.2493
38.41, 0.2493
38.52, 0.2542
38.62, 0.2542
38.72, 0.2493
38.82, 0.2493
38.92, 0.2542
39.02, 0.2542
39.12, 0.2542
39.22, 0.2542
39.33, 0.2590
39.43, 0.2590
39.53, 0.2590
39.63, 0.2542
39.73, 0.2542
39.83, 0.2493
39.93, 0.2542
40.04, 0.2542
40.14, 0.2542
40.24, 0.2542
40.34, 0.2542
40.44, 0.2542
40.54, 0.2542
40.64, 0.2590
40.74, 0.2639
40.84, 0.2639
40.95, 0.2590
41.05, 0.2639
41.15, 0.2590
41.26, 0.2542
41.35, 0.2590
41.45, 0.2542
41.56, 0.2542
41.66, 0.2542
41.76, 0.2542
41.86, 0.2542
41.96, 0.2542
42.06, 0.2590
42.16, 0.2590
42.27, 0.2639
42.37, 0.2590
42.47, 0.2542
42.57, 0.2590
42.67, 0.2590
42.77, 0.2542
42.87, 0.2542
42.98, 0.2542
43.08, 0.2542
43.18, 0.2542
43.28, 0.2542
43.38, 0.2542
43.49, 0.2542
43.58, 0.2542
43.69, 0.2542
43.79, 0.2590
43.88, 0.2590
43.99, 0.2590
44.09, 0.2590
44.19, 0.2542
44.29, 0.2542
44.39, 0.2493
44.50, 0.2542
44.60, 0.2542
44.69, 0.2493
44.80, 0.2542
44.90, 0.2542
45.00, 0.2590
45.10, 0.2639
45.20, 0.2737
45.30, 0.2786
45.40, 0.2835
45.50, 0.2786
45.61, 0.2737
45.71, 0.2688
45.81, 0.2688
45.91, 0.2688
46.01, 0.2639
46.11, 0.2688
46.21, 0.2639
46.32, 0.2688
46.42, 0.2639
46.52, 0.2639
46.62, 0.2590
46.73, 0.2590
46.82, 0.2590
46.93, 0.2542
47.03, 0.2590
47.13, 0.2639
47.23, 0.2590
47.33, 0.2590
47.43, 0.2542
47.53, 0.2542
47.63, 0.2542
47.73, 0.2590
47.84, 0.2590
47.93, 0.2590
48.04, 0.2590
48.14, 0.2639
48.24, 0.2590
48.34, 0.2590
48.44, 0.2590
48.55, 0.2590
48.65, 0.2542
48.75, 0.2542
48.85, 0.2542
48.95, 0.2493
49.05, 0.2542
49.15, 0.2542
49.25, 0.2542
49.36, 0.2493
49.46, 0.2542
49.56, 0.2542
49.66, 0.2590
49.76, 0.2542
49.86, 0.2542
49.96, 0.2590
50.07, 0.2542
50.16, 0.2493
50.27, 0.2493
50.37, 0.2493
50.47, 0.2493
50.57, 0.2493
50.68, 0.2493
50.78, 0.2493
50.88, 0.2493
50.98, 0.2493
51.08, 0.2493
51.18, 0.2542
51.28, 0.2590
51.38, 0.2542
51.49, 0.2542
51.59, 0.2493
51.69, 0.2542
51.79, 0.2493
51.89, 0.2444
51.99, 0.2444
52.09, 0.2444
52.19, 0.2444
52.29, 0.2444
52.40, 0.2444
52.50, 0.2444
52.59, 0.2444
52.70, 0.2444
52.80, 0.2395
52.90, 0.2444
53.00, 0.2444
53.10, 0.2395
53.20, 0.2395
53.30, 0.2346
53.41, 0.2346
53.51, 0.2346
53.61, 0.2395
53.71, 0.2395
53.82, 0.2395
53.91, 0.2395
54.02, 0.2395
54.12, 0.2395
54.22, 0.2395
54.32, 0.2444
54.42, 0.2395
54.52, 0.2395
54.62, 0.2444
54.72, 0.2444
54.83, 0.2395
54.93, 0.2346
55.03, 0.2395
55.13, 0.2395
55.23, 0.2395
55.33, 0.2346
55.43, 0.2346
55.53, 0.2395
55.64, 0.2395
55.74, 0.2444
55.84, 0.2444
55.94, 0.2395
56.04, 0.2395
56.14, 0.2346
56.24, 0.2395
56.34, 0.2346
56.45, 0.2346
56.55, 0.2346
56.65, 0.2395
56.75, 0.2346
56.85, 0.2395
56.95, 0.2395
57.06, 0.2395
57.16, 0.2395
57.26, 0.2444
57.36, 0.2395
57.46, 0.2395
57.56, 0.2346
57.66, 0.2346
57.76, 0.2346
57.86, 0.2395
57.96, 0.2395
58.07, 0.2346
58.17, 0.2346
58.27, 0.2395
58.37, 0.2395
58.48, 0.2444
58.58, 0.2444
58.68, 0.2444
58.78, 0.2395
58.89, 0.2395
58.98, 0.2395
59.08, 0.2395
59.18, 0.2346
59.29, 0.2346
59.38, 0.2346
59.48, 0.2346
59.59, 0.2346
59.69, 0.2346
59.79, 0.2395
59.89, 0.2346
59.99, 0.2395
60.09, 0.2395
60.20, 0.2395
60.30, 0.2395
60.40, 0.2395
60.50, 0.2395
60.60, 0.2346
60.70, 0.2346
60.80, 0.2346
60.90, 0.2346
61.01, 0.2395
61.10, 0.2395
61.20, 0.2395
61.31, 0.2395
61.41, 0.2395
61.51, 0.2444
61.61, 0.2444
61.71, 0.2444
61.81, 0.2493
61.92, 0.2493
62.02, 0.2444
62.12, 0.2395
62.22, 0.2346
62.32, 0.2346
62.42, 0.2395
62.53, 0.2346
62.63, 0.2395
62.73, 0.2395
62.83, 0.2395
62.93, 0.2444
63.03, 0.2444
63.14, 0.2444
63.24, 0.2395
63.33, 0.2395
63.43, 0.2395
63.54, 0.2395
63.64, 0.2395
63.74, 0.2346
63.84, 0.2297
63.94, 0.2297
64.04, 0.2297
64.15, 0.2346
64.24, 0.2395
64.35, 0.2395
64.45, 0.2395
64.55, 0.2395
64.65, 0.2395
64.75, 0.2346
64.86, 0.2395
64.95, 0.2346
65.05, 0.2346
65.16, 0.2346
65.26, 0.2395
65.36, 0.2346
65.46, 0.2346
65.56, 0.2395
65.66, 0.2395
65.77, 0.2346
65.87, 0.2346
65.97, 0.2346
66.07, 0.2395
66.17, 0.2395
66.27, 0.2395
66.37, 0.2346
66.48, 0.2346
66.58, 0.2297
66.68, 0.2346
66.78, 0.2346
66.88, 0.2346
66.98, 0.2297
67.08, 0.2346
67.18, 0.2346
67.28, 0.2346
67.38, 0.2395
67.49, 0.2395
67.59, 0.2395
67.69, 0.2395
67.80, 0.2346
67.89, 0.2346
68.00, 0.2346
68.10, 0.2297
68.20, 0.2346
68.30, 0.2346
68.40, 0.2346
68.50, 0.2297
68.60, 0.2297
68.70, 0.2297
68.80, 0.2346
68.90, 0.2395
69.01, 0.2395
69.11, 0.2346
69.21, 0.2346
69.31, 0.2297
69.41, 0.2346
69.51, 0.2346
69.61, 0.2297
69.71, 0.2248
69.82, 0.2297
69.92, 0.2297
70.02, 0.2297
70.12, 0.2297
70.22, 0.2297
70.32, 0.2346
70.43, 0.2346
70.52, 0.2346
70.63, 0.2395
70.73, 0.2346
