Sensor Name: ttx_103
Initial Resistance: 90 ohms
Start Time: 2024-11-04 23:37:12
Time (s), Voltage (V)
1.48, 1.2219
1.59, 1.2268
1.68, 1.2268
1.78, 1.2317
1.88, 1.2317
1.99, 1.2317
2.08, 1.2317
2.19, 1.2366
2.28, 1.2414
2.39, 1.2463
2.49, 1.2414
2.59, 1.2366
2.70, 1.2366
2.79, 1.2366
2.90, 1.2317
2.99, 1.2268
3.10, 1.2268
3.20, 1.2268
3.30, 1.2317
3.41, 1.2317
3.51, 1.2317
3.60, 1.2414
3.71, 1.2414
3.81, 1.2414
3.91, 1.2414
4.01, 1.2414
4.11, 1.2366
4.21, 1.2366
4.31, 1.2317
4.42, 1.2317
4.52, 1.2463
4.62, 1.2366
4.72, 1.2366
4.82, 1.2317
4.92, 1.2366
5.02, 1.2317
5.12, 1.2366
5.23, 1.2414
5.33, 1.2414
5.43, 1.2414
5.53, 1.2366
5.63, 1.2366
5.73, 1.2317
5.83, 1.2317
5.94, 1.2317
6.04, 1.2317
6.14, 1.2317
6.25, 1.2317
6.34, 1.2366
6.44, 1.2366
6.55, 1.2317
6.64, 1.2414
6.75, 1.2414
6.85, 1.2414
6.95, 1.2414
7.05, 1.2366
7.16, 1.2317
7.25, 1.2317
7.35, 1.2317
7.45, 1.2317
7.56, 1.2317
7.66, 1.2317
7.76, 1.2317
7.86, 1.2366
7.96, 1.2414
8.06, 1.2512
8.16, 1.2463
8.27, 1.2414
8.37, 1.2414
8.47, 1.2414
8.57, 1.2317
8.67, 1.2268
8.78, 1.2317
8.87, 1.2268
8.97, 1.2317
9.08, 1.2366
9.18, 1.2366
9.28, 1.2414
9.38, 1.2414
9.48, 1.2463
9.59, 1.2414
9.69, 1.2414
9.79, 1.2414
9.89, 1.2414
9.99, 1.2268
10.09, 1.2317
10.19, 1.2366
10.30, 1.2366
10.40, 1.2317
10.50, 1.2366
10.60, 1.2317
10.70, 1.2317
10.80, 1.2317
10.90, 1.2317
11.01, 1.2317
11.10, 1.2414
11.20, 1.2317
11.30, 1.2268
11.41, 1.2268
11.51, 1.2708
11.61, 1.3050
11.72, 1.3490
11.82, 1.3832
11.92, 1.4076
12.02, 1.4125
12.12, 1.4272
12.22, 1.4370
12.32, 1.4467
12.42, 1.4467
12.52, 1.4565
12.62, 1.4565
12.72, 1.4516
12.83, 1.4516
12.93, 1.4467
13.03, 1.4516
13.13, 1.4516
13.23, 1.4467
13.33, 1.4467
13.44, 1.4467
13.54, 1.4418
13.64, 1.4418
13.74, 1.4418
13.84, 1.4467
13.95, 1.4516
14.05, 1.4516
14.15, 1.4467
14.24, 1.4467
14.35, 1.4467
14.45, 1.4418
14.55, 1.4418
14.65, 1.4370
14.75, 1.4418
14.86, 1.4418
14.96, 1.4418
15.06, 1.4565
15.16, 1.4467
15.26, 1.4516
15.36, 1.4516
15.46, 1.4516
15.56, 1.4467
15.66, 1.4467
15.76, 1.4467
15.86, 1.4467
15.97, 1.4418
16.07, 1.4370
16.17, 1.4370
16.29, 1.4418
16.37, 1.4418
16.48, 1.4418
16.58, 1.4418
16.68, 1.4467
16.78, 1.4467
16.88, 1.4467
16.98, 1.4516
17.08, 1.4467
17.19, 1.4467
17.29, 1.4467
17.38, 1.4418
17.49, 1.4370
17.59, 1.4418
17.69, 1.4370
17.79, 1.4370
17.89, 1.4418
18.00, 1.4418
18.10, 1.4418
18.20, 1.4418
18.30, 1.4467
18.40, 1.4516
18.51, 1.4663
18.60, 1.4565
18.71, 1.4467
18.81, 1.4418
18.91, 1.4418
19.01, 1.4272
19.11, 1.4370
19.21, 1.4370
19.31, 1.4370
19.41, 1.4370
19.51, 1.4370
19.62, 1.4418
19.72, 1.4418
19.82, 1.4418
19.92, 1.4418
20.02, 1.4467
20.13, 1.4467
20.23, 1.4370
20.33, 1.4418
20.43, 1.4370
20.53, 1.4272
20.63, 1.4321
20.73, 1.4321
20.84, 1.4370
20.94, 1.4370
21.04, 1.4370
21.14, 1.4418
21.24, 1.4467
21.34, 1.4467
21.44, 1.4467
21.54, 1.4467
21.64, 1.4418
21.75, 1.4418
21.85, 1.4370
21.95, 1.4370
22.05, 1.4467
22.15, 1.4418
22.26, 1.4370
22.35, 1.4370
22.46, 1.4370
22.56, 1.4321
22.66, 1.4370
22.76, 1.4418
22.86, 1.4467
22.96, 1.4418
23.06, 1.4418
23.17, 1.4370
23.26, 1.4370
23.36, 1.4321
23.47, 1.4321
23.57, 1.4321
23.67, 1.4370
23.77, 1.4321
23.88, 1.4321
23.97, 1.4321
24.08, 1.4370
24.18, 1.4370
24.28, 1.4418
24.38, 1.4418
24.48, 1.4418
24.59, 1.4418
24.68, 1.4418
24.79, 1.4370
24.89, 1.4321
24.99, 1.4321
25.09, 1.4321
25.19, 1.4321
25.29, 1.4321
25.39, 1.4321
25.50, 1.4516
25.60, 1.4418
25.70, 1.4418
25.80, 1.4418
25.90, 1.4418
26.01, 1.4321
26.10, 1.4370
26.20, 1.4321
26.31, 1.4321
26.41, 1.4321
26.51, 1.4272
26.61, 1.4272
26.71, 1.4272
26.81, 1.4272
26.92, 1.4321
27.02, 1.4321
27.12, 1.4321
27.22, 1.4370
27.32, 1.4418
27.42, 1.4418
27.52, 1.4321
27.63, 1.4370
27.72, 1.4321
27.83, 1.4321
27.93, 1.4321
28.03, 1.4272
28.13, 1.4321
28.24, 1.4321
28.33, 1.4321
28.44, 1.4321
28.54, 1.4321
28.64, 1.4370
28.74, 1.4418
28.84, 1.4370
28.94, 1.4418
29.05, 1.4565
29.14, 1.4418
29.25, 1.4370
29.35, 1.4321
29.45, 1.4272
29.55, 1.4223
29.65, 1.4272
29.75, 1.4272
29.85, 1.4321
29.95, 1.4321
30.06, 1.4321
30.16, 1.4370
30.26, 1.4370
30.36, 1.4418
30.46, 1.4370
30.56, 1.4321
30.66, 1.4321
30.77, 1.4321
30.87, 1.4272
30.97, 1.4272
31.07, 1.4174
31.17, 1.4223
31.28, 1.4272
31.37, 1.4272
31.47, 1.4272
31.58, 1.4321
31.68, 1.4321
31.78, 1.4370
31.88, 1.4370
31.98, 1.4321
32.08, 1.4370
32.19, 1.4321
32.29, 1.4272
32.39, 1.4223
32.49, 1.4223
32.59, 1.4272
32.69, 1.4223
32.79, 1.4223
32.89, 1.4223
33.00, 1.4223
33.10, 1.4174
33.20, 1.4223
33.30, 1.4272
33.40, 1.4272
33.51, 1.4272
33.60, 1.4223
33.70, 1.4174
33.81, 1.4125
33.91, 1.4125
34.01, 1.4125
34.11, 1.4125
34.21, 1.4125
34.31, 1.4076
34.41, 1.4125
34.52, 1.4027
34.62, 1.4076
34.72, 1.4125
34.82, 1.4125
34.92, 1.4125
35.04, 1.4125
35.12, 1.4076
35.23, 1.4076
35.33, 1.4027
35.43, 1.3978
35.53, 1.3930
35.63, 1.3978
35.73, 1.3930
35.84, 1.3930
35.94, 1.4027
36.03, 1.4076
36.14, 1.4027
36.24, 1.3978
36.34, 1.3978
36.45, 1.3978
36.55, 1.3930
36.65, 1.3881
36.75, 1.3881
36.85, 1.3881
36.95, 1.3832
37.05, 1.3832
37.15, 1.3783
37.25, 1.3783
37.35, 1.3783
37.46, 1.3783
37.56, 1.3881
37.66, 1.3832
37.76, 1.3832
37.86, 1.3881
37.97, 1.3832
38.07, 1.3783
38.17, 1.3783
38.27, 1.3783
38.37, 1.3734
38.47, 1.3734
38.57, 1.3685
38.67, 1.3685
38.78, 1.3685
38.88, 1.3685
38.97, 1.3685
39.08, 1.3685
39.18, 1.3685
39.28, 1.3685
39.38, 1.3685
39.48, 1.3685
39.59, 1.3783
39.68, 1.3734
39.79, 1.3636
39.89, 1.3636
