Sensor Name: ttx
Initial Resistance: 59 ohms
Start Time: 2024-11-04 23:32:25
Time (s), Voltage (V)
33.30, 0.6745
33.39, 0.6794
33.50, 0.6745
33.59, 0.6696
33.69, 0.6745
33.80, 0.6647
33.90, 0.6696
34.00, 0.6647
34.10, 0.6647
34.21, 0.6696
34.31, 0.6647
34.40, 0.6647
34.51, 0.6696
34.61, 0.6696
34.71, 0.6745
34.81, 0.6745
34.91, 0.6696
35.02, 0.6696
35.11, 0.6696
35.21, 0.6696
35.32, 0.6696
35.42, 0.6647
35.52, 0.6696
35.63, 0.6696
35.72, 0.6696
35.83, 0.6696
35.93, 0.6794
36.02, 0.6794
36.13, 0.6745
36.23, 0.6745
36.33, 0.6745
36.43, 0.6696
36.53, 0.6891
36.64, 0.7185
36.74, 0.7478
36.84, 0.7722
36.94, 0.8016
37.04, 0.8211
37.15, 0.8309
37.24, 0.8407
37.34, 0.8456
37.44, 0.8456
37.55, 0.8504
37.65, 0.8602
37.75, 0.8602
37.85, 0.8651
37.96, 0.8602
38.06, 0.8602
38.15, 0.8651
38.25, 0.8651
38.36, 0.8602
38.46, 0.8602
38.56, 0.8651
38.67, 0.8602
38.76, 0.8602
38.86, 0.8602
38.97, 0.8602
39.07, 0.8602
39.17, 0.8651
39.27, 0.8651
39.37, 0.8651
39.48, 0.8749
39.58, 0.8700
39.67, 0.8651
39.78, 0.8602
39.88, 0.8553
39.98, 0.8504
40.08, 0.8504
40.18, 0.8504
40.29, 0.8504
40.38, 0.8504
40.49, 0.8553
40.59, 0.8553
40.69, 0.8553
40.79, 0.8602
40.89, 0.8553
40.99, 0.8553
41.09, 0.8553
41.20, 0.8504
41.30, 0.8504
41.40, 0.8456
41.50, 0.8407
41.60, 0.8456
41.70, 0.8456
41.81, 0.8456
41.90, 0.8456
42.01, 0.8456
42.11, 0.8456
42.21, 0.8456
42.31, 0.8504
42.41, 0.8504
42.51, 0.8456
42.61, 0.8504
42.72, 0.8456
42.84, 0.8407
42.92, 0.8553
43.02, 0.8456
43.12, 0.8456
43.22, 0.8407
43.32, 0.8407
43.42, 0.8358
43.52, 0.8358
43.63, 0.8407
43.73, 0.8407
43.83, 0.8407
43.93, 0.8456
44.04, 0.8456
44.14, 0.8456
44.23, 0.8456
44.34, 0.8407
44.43, 0.8407
44.54, 0.8358
44.64, 0.8358
44.74, 0.8358
44.84, 0.8309
44.94, 0.8309
45.05, 0.8309
45.15, 0.8358
45.25, 0.8358
45.35, 0.8407
45.45, 0.8407
45.55, 0.8407
45.65, 0.8407
45.76, 0.8407
45.85, 0.8358
45.96, 0.8309
46.06, 0.8309
46.16, 0.8309
46.26, 0.8309
46.37, 0.8309
46.47, 0.8358
46.57, 0.8358
46.67, 0.8358
46.77, 0.8358
46.87, 0.8358
46.97, 0.8309
47.07, 0.8358
47.17, 0.8358
47.28, 0.8309
47.38, 0.8309
47.48, 0.8260
47.58, 0.8309
47.68, 0.8211
47.78, 0.8260
47.88, 0.8260
47.98, 0.8260
48.09, 0.8260
48.19, 0.8260
48.29, 0.8309
48.39, 0.8309
48.49, 0.8260
48.59, 0.8309
48.69, 0.8309
48.80, 0.8309
48.90, 0.8309
49.00, 0.8260
49.10, 0.8211
49.20, 0.8260
49.30, 0.8260
49.41, 0.8211
49.51, 0.8260
49.61, 0.8260
49.71, 0.8260
49.81, 0.8260
49.91, 0.8260
50.01, 0.8358
50.11, 0.8309
50.21, 0.8309
50.31, 0.8309
50.41, 0.8211
50.52, 0.8260
50.62, 0.8211
50.72, 0.8162
50.82, 0.8211
50.93, 0.8162
51.03, 0.8211
51.12, 0.8211
51.22, 0.8260
51.33, 0.8211
51.43, 0.8260
51.53, 0.8260
51.63, 0.8260
51.74, 0.8211
51.84, 0.8260
51.94, 0.8162
52.04, 0.8162
52.14, 0.8162
52.24, 0.8162
52.34, 0.8162
52.44, 0.8211
52.55, 0.8162
52.65, 0.8211
52.75, 0.8211
52.85, 0.8211
52.95, 0.8211
53.06, 0.8260
53.16, 0.8260
53.25, 0.8260
53.36, 0.8211
53.46, 0.8309
53.56, 0.8260
53.66, 0.8162
53.76, 0.8162
53.87, 0.8162
53.96, 0.8113
54.07, 0.8162
54.16, 0.8113
54.27, 0.8162
54.37, 0.8211
54.48, 0.8162
54.57, 0.8260
54.67, 0.8211
54.78, 0.8211
54.87, 0.8211
54.98, 0.8162
55.08, 0.8162
55.18, 0.8162
55.28, 0.8113
55.39, 0.8113
55.49, 0.8065
55.59, 0.8065
55.69, 0.8113
55.79, 0.8113
55.89, 0.8113
55.99, 0.8211
56.09, 0.8162
56.19, 0.8162
56.30, 0.8211
56.39, 0.8211
56.50, 0.8162
56.60, 0.8162
56.70, 0.8113
56.80, 0.8113
56.91, 0.8162
57.00, 0.8211
57.11, 0.8162
57.21, 0.8162
57.31, 0.8113
57.41, 0.8162
57.51, 0.8113
57.61, 0.8162
57.71, 0.8162
57.82, 0.8162
57.91, 0.8162
58.02, 0.8113
58.12, 0.8113
58.22, 0.8162
58.33, 0.8065
58.42, 0.8065
58.52, 0.8113
58.63, 0.8113
58.73, 0.8113
58.83, 0.8113
58.93, 0.8065
59.03, 0.8113
59.14, 0.8113
59.23, 0.8162
59.34, 0.8162
59.43, 0.8113
59.54, 0.8113
59.64, 0.8113
59.74, 0.8113
59.84, 0.8065
59.95, 0.8065
60.04, 0.8065
60.15, 0.8113
60.25, 0.8113
60.35, 0.8113
60.45, 0.8211
60.55, 0.8211
60.65, 0.8162
60.75, 0.8162
60.86, 0.8162
60.96, 0.8065
61.06, 0.8065
61.16, 0.8065
61.26, 0.8065
61.36, 0.8065
61.46, 0.8016
61.56, 0.8065
61.66, 0.8065
61.77, 0.8065
61.89, 0.8113
61.97, 0.8065
62.07, 0.8113
62.17, 0.8113
62.28, 0.8113
62.38, 0.8162
62.48, 0.8016
62.58, 0.8016
62.68, 0.8065
62.78, 0.8016
62.88, 0.8016
62.98, 0.8016
63.08, 0.8016
63.19, 0.8016
63.29, 0.8016
63.39, 0.8065
63.49, 0.8065
63.59, 0.8065
63.69, 0.8113
63.79, 0.8113
63.90, 0.8065
64.00, 0.8211
64.10, 0.8113
64.20, 0.8065
64.30, 0.8065
64.40, 0.8065
64.50, 0.8016
64.60, 0.7967
64.71, 0.8065
64.80, 0.8065
64.91, 0.8065
65.01, 0.8065
65.11, 0.8065
65.21, 0.8113
65.31, 0.8113
65.42, 0.8065
65.51, 0.8113
65.62, 0.8016
65.72, 0.8016
65.82, 0.8016
65.92, 0.7967
66.02, 0.7967
66.12, 0.8016
66.23, 0.8016
66.32, 0.8016
66.43, 0.8016
66.53, 0.8065
66.63, 0.8065
66.73, 0.8113
66.83, 0.8113
66.93, 0.8065
67.04, 0.8065
67.14, 0.8113
67.24, 0.8016
67.34, 0.8016
67.44, 0.8162
67.55, 0.8113
67.64, 0.8065
67.75, 0.8065
67.85, 0.8065
67.95, 0.7967
68.05, 0.8016
68.15, 0.8065
68.25, 0.8065
68.36, 0.8065
68.46, 0.8065
68.56, 0.8065
68.66, 0.8016
68.76, 0.8016
68.86, 0.8016
68.96, 0.8016
69.06, 0.8016
69.17, 0.8016
69.26, 0.8016
69.37, 0.8113
69.47, 0.8016
69.57, 0.8016
69.67, 0.8113
69.78, 0.8113
69.88, 0.8113
69.97, 0.8065
70.08, 0.8065
70.18, 0.8065
70.28, 0.8016
70.38, 0.8065
70.48, 0.8065
70.58, 0.8016
70.68, 0.8016
70.79, 0.8065
70.89, 0.8065
70.99, 0.8113
71.09, 0.8162
71.19, 0.8113
71.29, 0.8113
71.40, 0.8113
71.50, 0.8065
71.60, 0.8065
71.70, 0.8016
71.80, 0.8016
71.90, 0.8016
72.00, 0.7967
72.11, 0.8065
72.20, 0.7967
72.30, 0.8016
72.41, 0.8016
72.51, 0.8065
72.61, 0.8113
72.71, 0.8113
72.81, 0.8065
72.91, 0.8065
73.02, 0.8016
73.12, 0.8065
73.22, 0.8065
73.32, 0.8016
73.42, 0.8016
73.52, 0.8016
73.63, 0.8016
73.73, 0.8016
73.83, 0.8065
73.92, 0.8016
74.03, 0.8016
74.13, 0.8113
74.23, 0.8113
74.33, 0.8065
74.44, 0.8113
74.53, 0.8162
74.64, 0.8065
74.74, 0.8065
74.84, 0.8065
74.94, 0.8016
75.04, 0.7967
75.15, 0.8016
75.24, 0.8016
75.34, 0.8065
75.45, 0.8065
75.55, 0.8065
75.65, 0.8065
75.75, 0.8113
75.85, 0.8113
75.96, 0.8113
76.06, 0.8065
76.16, 0.8065
76.26, 0.8065
76.36, 0.8016
76.46, 0.7967
76.57, 0.8016
76.66, 0.8016
76.77, 0.8016
76.87, 0.8065
76.97, 0.8016
77.07, 0.8016
77.17, 0.8113
77.27, 0.8113
77.37, 0.8065
77.47, 0.8065
77.57, 0.8065
77.67, 0.8016
77.91, 0.8016
