Time (s), Sensor Value (ADC)
0.16, 0
0.20, 0
0.22, 0
0.29, 0
0.32, 0
0.35, 0
0.41, 0
0.51, 0
0.62, 0
0.70, 0
0.80, 0
0.90, 0
1.00, 0
1.10, 0
1.21, 0
1.30, 0
1.42, 0
1.50, 0
1.62, 0
1.70, 0
1.80, 0
1.90, 0
2.00, 0
2.10, 0
2.22, 0
2.30, 0
2.40, 0
2.52, 0
2.60, 0
2.70, 0
2.82, 0
2.90, 0
3.02, 0
3.10, 0
3.22, 0
3.32, 0
3.40, 0
3.50, 0
3.62, 0
3.70, 0
3.80, 0
3.90, 0
4.00, 0
4.12, 0
4.20, 0
4.30, 0
4.40, 0
4.50, 0
4.62, 0
4.71, 0
4.82, 0
4.91, 0
5.02, 0
5.12, 0
5.20, 0
5.30, 0
5.40, 0
5.50, 0
5.60, 0
5.70, 0
5.82, 0
5.92, 0
6.00, 4095
6.10, 4095
6.22, 4095
6.31, 4095
6.40, 0
6.51, 0
6.60, 0
6.71, 0
6.80, 0
6.91, 0
7.01, 0
7.11, 0
7.20, 0
7.30, 0
7.40, 0
7.50, 0
7.60, 4095
7.69, 4095
7.80, 0
7.90, 0
8.01, 0
8.10, 0
8.20, 0
8.30, 0
8.40, 0
8.50, 0
8.61, 4095
8.70, 4095
8.80, 0
8.90, 0
9.00, 0
9.09, 0
9.20, 4095
9.31, 4095
9.41, 2879
9.50, 0
9.59, 0
9.71, 4095
9.81, 4095
9.91, 4095
9.99, 0
10.10, 0
10.21, 0
10.31, 4095
10.39, 4095
10.49, 4095
10.61, 0
10.69, 4095
10.79, 4095
10.89, 4095
11.01, 0
11.11, 4095
11.19, 4095
11.29, 4095
11.39, 4095
11.51, 4095
11.59, 0
11.69, 0
11.79, 0
11.89, 0
11.99, 0
12.09, 0
12.19, 0
12.29, 0
12.39, 4095
12.51, 4095
12.61, 4095
12.69, 4095
12.79, 0
12.89, 0
12.99, 0
13.09, 4095
13.21, 4095
13.29, 4095
13.41, 4095
13.49, 4095
13.59, 4095
13.69, 0
13.81, 0
13.89, 0
13.99, 0
14.09, 0
14.19, 0
14.31, 0
14.41, 0
14.49, 0
14.61, 4095
14.71, 4095
14.81, 4095
14.89, 4095
14.99, 0
15.09, 0
15.21, 0
15.29, 0
15.41, 0
15.51, 0
15.61, 0
15.71, 0
15.79, 0
15.89, 4095
16.00, 4095
16.11, 4095
16.22, 4095
16.31, 0
16.41, 0
16.50, 0
16.60, 0
16.71, 0
16.80, 4095
16.91, 4095
17.01, 4095
17.10, 4095
17.20, 0
17.30, 0
17.40, 0
17.49, 0
17.62, 0
17.70, 0
17.80, 4095
17.90, 4095
18.02, 4095
18.10, 4095
18.20, 4095
18.32, 0
18.40, 0
18.50, 0
18.60, 0
18.70, 0
18.80, 0
18.90, 0
19.00, 0
19.10, 0
19.20, 0
19.30, 0
19.40, 0
19.50, 0
19.60, 0
19.70, 0
19.80, 0
19.90, 4095
20.00, 4095
20.10, 4095
20.20, 4095
20.32, 4095
20.40, 4095
20.50, 0
20.62, 0
20.70, 0
20.80, 0
20.90, 0
21.00, 0
21.10, 0
21.20, 0
21.30, 4095
21.40, 4095
21.50, 4095
21.60, 4095
21.70, 4095
21.82, 4095
21.90, 0
22.02, 0
22.12, 0
22.22, 0
22.32, 0
22.40, 0
22.52, 0
22.60, 0
22.70, 0
22.82, 4095
22.92, 4095
23.02, 4095
23.12, 4095
23.22, 4095
23.32, 4095
23.40, 825
23.50, 0
23.60, 0
23.70, 0
23.80, 0
23.90, 0
24.00, 0
24.10, 0
24.20, 0
24.30, 4095
24.40, 4095
24.50, 4095
24.60, 4095
24.71, 4095
24.80, 0
24.90, 0
25.00, 0
25.10, 0
25.20, 0
25.30, 0
25.40, 4095
25.50, 4095
25.60, 4095
25.69, 4095
25.80, 4095
25.90, 4095
26.00, 4095
26.10, 0
26.20, 0
26.29, 0
26.41, 4095
26.51, 4095
26.60, 4095
26.70, 4095
26.79, 4095
26.89, 4095
26.99, 2123
27.09, 0
27.19, 0
27.30, 4095
27.40, 4095
27.50, 4095
27.59, 4095
27.69, 4095
27.79, 4095
27.89, 4095
27.99, 0
28.09, 0
28.19, 4095
28.31, 4095
28.41, 4095
28.51, 4095
28.61, 4095
28.71, 4095
28.81, 4095
28.91, 4095
29.00, 0
29.11, 0
29.19, 4095
29.29, 4095
29.41, 4095
29.51, 4095
29.61, 4095
29.69, 4095
29.79, 4095
29.89, 0
29.99, 0
30.11, 4095
30.20, 4095
30.29, 4095
30.39, 0
30.49, 4095
30.59, 4095
30.71, 4095
30.81, 0
30.91, 0
31.01, 4095
31.09, 4095
31.19, 4095
31.29, 4095
31.39, 4095
31.49, 4095
31.59, 4095
31.69, 0
31.79, 0
31.89, 0
31.99, 0
32.09, 0
32.19, 0
32.29, 0
32.39, 0
32.49, 0
32.59, 0
32.69, 0
32.81, 0
32.91, 0
33.01, 0
33.11, 4095
33.19, 4095
33.29, 695
33.39, 4095
33.52, 4095
33.61, 4095
33.69, 4095
