Time (s), Sensor Value (ADC)
0.30, 0
0.38, 0
0.42, 0
0.45, 0
0.47, 0
0.51, 0
0.54, 0
0.57, 0
0.60, 0
0.63, 0
0.65, 0
0.73, 0
0.82, 0
0.92, 0
1.04, 0
1.12, 0
1.23, 0
1.32, 0
1.42, 0
1.52, 0
1.64, 0
1.72, 0
1.82, 0
1.92, 0
2.02, 0
2.12, 0
2.22, 0
2.32, 0
2.44, 0
2.54, 0
2.62, 0
2.73, 0
2.82, 0
2.92, 0
3.02, 0
3.12, 0
3.22, 0
3.32, 0
3.42, 0
3.52, 0
3.62, 0
3.72, 0
3.82, 0
3.93, 0
4.02, 0
4.12, 0
4.22, 0
4.32, 0
4.42, 0
4.52, 0
4.62, 0
4.73, 0
4.83, 0
4.94, 0
5.02, 0
5.12, 0
5.23, 0
5.32, 0
5.42, 0
5.52, 0
5.62, 0
5.72, 0
5.82, 0
5.92, 0
6.02, 0
6.13, 0
6.22, 0
6.32, 0
6.42, 0
6.52, 0
6.62, 0
6.73, 0
6.82, 0
6.92, 0
7.02, 0
7.13, 0
7.22, 0
7.32, 0
7.42, 0
7.53, 0
7.63, 0
7.72, 0
7.83, 0
7.93, 0
8.02, 0
8.12, 0
8.23, 0
8.35, 0
8.42, 0
8.53, 0
8.63, 0
8.73, 0
8.83, 0
8.93, 0
9.03, 0
9.13, 0
9.23, 0
9.33, 0
9.42, 0
9.55, 0
9.63, 0
9.74, 0
9.82, 0
9.95, 0
10.04, 0
10.13, 0
10.23, 0
10.33, 0
10.43, 0
10.53, 0
10.63, 0
10.73, 0
10.84, 0
10.94, 0
11.03, 0
11.13, 0
11.24, 0
11.33, 0
11.43, 0
11.53, 0
11.63, 0
11.73, 0
11.83, 0
11.94, 0
12.04, 0
12.14, 0
12.24, 0
12.34, 0
12.43, 0
12.53, 0
12.64, 0
12.73, 0
12.83, 0
12.93, 0
13.03, 0
13.13, 0
13.23, 0
13.33, 0
13.43, 0
13.53, 0
13.63, 0
13.73, 0
13.83, 0
13.92, 0
14.03, 0
14.12, 0
14.22, 0
14.32, 0
14.42, 0
14.52, 0
14.62, 0
14.72, 0
14.82, 0
14.92, 0
15.02, 0
15.12, 0
15.22, 0
15.32, 0
15.44, 0
15.52, 0
15.62, 0
15.72, 0
15.82, 0
15.92, 0
16.02, 0
16.12, 0
16.22, 0
16.32, 0
16.42, 0
16.52, 0
16.62, 0
16.72, 0
16.82, 0
16.92, 0
17.02, 0
17.12, 0
17.22, 0
17.32, 0
17.42, 0
17.52, 0
17.62, 0
17.72, 0
17.82, 0
17.92, 0
18.02, 0
18.12, 0
18.22, 0
18.32, 0
18.42, 0
18.52, 0
18.62, 0
18.72, 0
18.82, 0
18.92, 0
19.02, 0
19.12, 0
19.22, 0
19.32, 0
19.42, 0
19.54, 0
19.62, 0
19.72, 0
19.82, 0
19.92, 0
20.02, 0
20.12, 0
20.22, 0
20.32, 0
20.42, 0
20.53, 0
20.62, 0
20.72, 0
20.82, 0
20.92, 0
21.02, 0
21.12, 0
21.23, 0
21.32, 0
21.42, 0
21.52, 0
21.62, 0
21.72, 0
21.83, 0
21.92, 0
22.02, 0
22.12, 0
22.22, 0
22.33, 0
22.42, 0
22.52, 0
22.62, 0
22.73, 0
22.83, 0
22.93, 0
23.02, 0
23.12, 0
23.22, 0
23.32, 0
23.42, 0
23.52, 0
23.62, 0
23.72, 0
23.82, 0
23.92, 0
24.02, 0
24.12, 0
24.22, 0
24.32, 0
24.42, 0
24.52, 0
24.62, 0
24.72, 0
24.82, 0
24.92, 0
25.02, 0
25.13, 0
25.22, 0
25.32, 0
25.42, 0
25.55, 0
25.62, 0
25.72, 0
25.83, 0
25.92, 0
26.02, 0
26.12, 0
26.22, 0
26.35, 0
26.42, 0
26.52, 0
26.62, 0
26.72, 0
26.83, 0
26.92, 0
27.03, 0
27.12, 0
27.23, 0
27.32, 0
27.43, 0
27.53, 0
27.63, 0
27.72, 0
27.83, 0
27.93, 0
28.03, 0
28.13, 0
28.23, 0
28.33, 0
28.43, 0
28.53, 0
28.63, 0
28.74, 0
28.82, 0
28.94, 0
29.04, 0
29.13, 0
29.23, 0
29.33, 0
29.43, 0
29.53, 0
29.63, 0
29.73, 0
29.83, 0
29.93, 0
30.03, 0
30.13, 0
30.23, 0
30.33, 0
30.43, 0
30.52, 0
30.63, 0
30.73, 0
30.83, 0
30.93, 0
31.03, 0
31.13, 0
31.22, 0
31.33, 0
31.42, 0
31.54, 0
31.61, 0
31.73, 0
31.82, 0
31.92, 0
32.03, 0
32.13, 0
32.22, 0
32.32, 0
32.42, 0
32.52, 0
32.62, 0
32.72, 0
32.82, 0
32.92, 0
33.02, 0
33.12, 0
33.24, 0
33.34, 0
33.42, 0
33.52, 0
33.62, 0
33.72, 0
33.82, 0
33.92, 0
34.02, 0
34.12, 0
34.22, 0
34.32, 0
34.42, 0
34.52, 0
34.62, 0
34.74, 0
34.82, 0
34.92, 0
35.04, 0
35.14, 0
35.22, 0
35.34, 0
35.44, 0
35.52, 0
35.62, 1186
35.74, 0
35.82, 0
35.94, 1157
36.04, 1214
36.12, 1176
36.22, 1180
36.32, 1184
36.44, 1181
36.52, 1181
36.62, 890
36.72, 1221
36.82, 1253
36.93, 1248
37.04, 1202
37.12, 1199
37.22, 0
37.32, 1200
37.42, 1185
37.52, 1200
37.62, 1177
37.72, 1075
37.84, 1216
37.93, 1198
38.04, 1205
38.12, 1197
38.22, 1059
38.32, 1168
38.42, 1191
38.52, 1168
38.62, 1195
38.72, 1191
38.82, 1200
38.92, 1170
39.02, 1185
39.12, 1161
39.22, 1182
39.32, 1196
39.42, 1168
39.52, 1177
39.63, 1198
39.73, 1187
39.82, 1183
39.92, 1169
40.02, 1121
40.12, 1182
40.21, 1179
40.32, 1163
40.42, 1181
40.52, 1182
40.62, 1178
40.73, 0
40.82, 1182
40.92, 1177
41.02, 1181
41.13, 1179
41.22, 1156
41.33, 1177
41.42, 1171
41.53, 401
41.61, 1155
41.71, 1185
41.82, 1175
41.92, 1207
42.03, 1181
42.13, 1186
42.22, 1271
42.33, 1189
42.42, 1191
42.53, 1195
42.61, 957
42.71, 1194
42.85, 1196
42.91, 0
43.02, 1193
43.11, 1200
43.23, 1197
43.32, 1204
43.43, 1205
43.52, 1204
43.61, 1203
43.71, 1200
43.83, 1207
43.93, 1211
44.03, 1213
44.13, 1229
44.23, 1215
44.33, 1216
44.41, 1219
44.51, 1197
44.64, 1223
44.73, 1229
44.81, 1232
44.93, 1324
45.03, 1232
45.11, 1231
45.21, 1264
45.33, 1245
45.41, 1232
45.53, 1232
45.63, 1232
45.73, 1239
45.81, 1242
45.93, 1194
46.03, 1246
46.11, 1245
46.23, 1360
46.31, 1243
46.43, 1231
46.54, 1261
46.61, 1254
46.73, 1258
46.83, 1273
46.93, 1255
47.03, 1265
47.14, 1263
47.24, 1273
47.33, 1265
47.43, 1266
47.53, 1234
47.63, 1271
47.73, 1264
47.83, 1264
47.93, 1283
48.03, 1265
48.13, 1266
48.22, 1274
48.33, 1276
48.43, 1274
48.53, 1270
48.63, 1263
48.72, 1235
48.84, 1271
48.92, 1271
49.03, 1280
49.13, 1277
49.23, 1261
49.33, 1270
49.42, 1275
49.53, 1268
49.62, 1234
49.73, 1270
49.82, 1273
49.94, 1266
50.04, 1271
50.14, 1268
50.24, 1273
50.32, 1280
50.42, 1270
50.52, 1264
50.63, 1168
50.72, 1263
50.82, 1250
50.92, 1127
51.02, 1259
51.12, 1265
51.22, 1260
51.34, 1136
51.42, 1243
51.52, 1245
51.62, 1249
51.72, 1171
51.82, 1252
51.92, 1232
52.02, 1243
52.12, 1126
52.22, 1242
52.32, 1226
52.42, 1245
52.54, 0
52.64, 1243
52.72, 1234
52.82, 1223
52.94, 1233
53.02, 1232
53.12, 1232
53.22, 1233
53.32, 1232
53.42, 1223
53.52, 1225
53.62, 1216
53.72, 1235
53.82, 1219
53.92, 1222
54.02, 1216
54.12, 1216
54.22, 1209
54.32, 1207
54.42, 1210
54.52, 1239
54.62, 1202
54.72, 1207
54.82, 1193
54.92, 1213
55.02, 1213
55.12, 1213
55.23, 1173
55.34, 1197
55.42, 1199
55.54, 1198
55.63, 1167
55.72, 1199
55.82, 1193
55.92, 1193
56.03, 1189
56.12, 1199
56.22, 1173
56.32, 1212
56.42, 1175
56.52, 1181
56.62, 1182
56.72, 1179
