Time, Voltage
2024-11-30 11:29:52.908717, 230.0
2024-11-30 11:29:53.086229, 460.0
2024-11-30 11:29:53.191301, 690.0
2024-11-30 11:29:53.307627, 922.0
2024-11-30 11:29:53.438492, 1154.0
2024-11-30 11:29:53.570524, 1386.0
2024-11-30 11:29:53.678942, 1617.0
2024-11-30 11:29:53.801032, 1849.0
2024-11-30 11:29:53.909009, 2080.0
2024-11-30 11:29:54.014407, 2310.0
2024-11-30 11:29:54.125648, 2541.0
2024-11-30 11:29:54.230729, 2772.0
2024-11-30 11:29:54.337419, 3004.0
2024-11-30 11:29:54.444961, 3235.0
2024-11-30 11:29:54.558136, 3467.0
2024-11-30 11:29:54.668931, 3468.0
2024-11-30 11:29:54.789335, 3469.0
2024-11-30 11:29:54.890886, 3468.0
2024-11-30 11:29:55.015479, 3468.0
2024-11-30 11:29:55.124872, 3467.0
2024-11-30 11:29:55.241009, 3466.0
2024-11-30 11:29:55.354189, 3464.0
2024-11-30 11:29:55.469219, 3465.0
2024-11-30 11:29:55.574174, 3465.0
2024-11-30 11:29:55.679262, 3468.0
2024-11-30 11:29:55.791394, 3468.0
2024-11-30 11:29:55.900971, 3469.0
2024-11-30 11:29:56.018040, 3469.0
2024-11-30 11:29:56.127025, 3469.0
2024-11-30 11:29:56.240469, 3468.0
2024-11-30 11:29:56.345337, 3468.0
2024-11-30 11:29:56.452672, 3467.0
2024-11-30 11:29:56.563506, 3468.0
2024-11-30 11:29:56.669571, 3468.0
2024-11-30 11:29:56.781689, 3467.0
2024-11-30 11:29:56.901120, 3466.0
2024-11-30 11:29:57.020350, 3468.0
2024-11-30 11:29:57.136128, 3468.0
2024-11-30 11:29:57.252272, 3467.0
2024-11-30 11:29:57.362258, 3466.0
2024-11-30 11:29:57.477604, 3467.0
2024-11-30 11:29:57.584800, 3466.0
2024-11-30 11:29:57.689707, 3466.0
2024-11-30 11:29:57.804074, 3465.0
2024-11-30 11:29:57.920747, 3466.0
2024-11-30 11:29:58.031100, 3467.0
2024-11-30 11:29:58.139114, 3468.0
2024-11-30 11:29:58.249670, 3467.0
2024-11-30 11:29:58.364596, 3468.0
2024-11-30 11:29:58.475877, 3471.0
2024-11-30 11:29:58.582169, 3472.0
2024-11-30 11:29:58.705038, 3470.0
2024-11-30 11:29:58.823013, 3469.0
2024-11-30 11:29:58.930108, 3469.0
2024-11-30 11:29:59.042145, 3469.0
2024-11-30 11:29:59.148222, 3470.0
