Sensor Name: ttx_102box
Initial Resistance: 90 ohms
Start Time: 2024-11-04 23:34:14
Time (s), Voltage (V)
33.20, 1.0313
33.30, 1.0264
33.40, 1.0362
33.50, 1.0362
33.60, 1.0362
33.70, 1.0508
33.80, 1.0459
33.91, 1.0411
34.01, 1.0313
34.11, 1.0264
34.21, 1.0215
34.31, 1.0215
34.41, 1.0166
34.52, 1.0215
34.61, 1.0215
34.71, 1.0313
34.82, 1.0313
34.92, 1.0362
35.02, 1.0459
35.12, 0.8700
35.23, 0.9384
35.33, 0.9775
35.42, 0.9922
35.53, 1.0020
35.63, 1.0020
35.73, 1.0068
35.83, 1.0166
35.93, 1.0166
36.03, 1.0215
36.14, 1.0215
36.24, 1.0215
36.33, 1.0313
36.44, 1.0264
36.54, 1.0264
36.64, 1.0313
36.74, 1.0313
36.84, 1.0313
36.95, 1.0264
37.05, 1.0264
37.15, 1.0215
37.25, 1.0215
37.35, 1.0215
37.45, 1.0264
37.55, 1.0215
37.65, 1.0215
37.76, 1.0264
37.86, 1.0264
37.96, 1.0264
38.06, 1.0313
38.16, 1.0313
38.26, 1.0313
38.36, 1.0313
38.47, 1.0264
38.57, 1.0264
38.67, 1.0411
38.77, 1.0264
38.87, 1.0264
38.97, 1.0215
39.08, 1.0264
39.18, 1.0215
39.27, 1.0215
39.38, 1.0264
39.48, 1.0313
39.58, 1.0362
39.68, 1.0508
39.78, 1.0508
39.88, 1.0362
39.99, 1.0264
40.09, 1.0215
40.19, 1.0166
40.29, 1.0166
40.39, 1.0117
40.49, 1.0166
40.59, 1.0068
40.69, 1.0166
40.79, 1.0264
40.90, 1.0264
41.00, 1.0362
41.10, 1.0362
41.20, 1.0362
41.30, 1.0411
41.41, 1.0362
41.50, 1.0264
41.61, 1.0215
41.71, 1.0166
41.81, 1.0117
41.91, 1.0117
42.01, 1.0166
42.11, 1.0215
42.21, 1.0264
42.32, 1.0215
42.42, 1.0264
42.52, 1.0313
42.62, 1.0362
42.72, 1.0362
42.82, 1.0362
42.92, 1.0313
43.02, 1.0264
43.13, 1.0215
43.23, 1.0166
43.33, 1.0117
43.43, 1.0166
43.54, 1.0117
43.63, 1.0117
43.74, 1.0215
43.84, 1.0215
43.94, 1.0264
44.04, 1.0313
44.14, 1.0313
44.25, 1.0362
44.34, 1.0313
44.45, 1.0264
44.55, 1.0264
44.68, 1.0166
44.75, 1.0166
44.85, 1.0117
44.95, 1.0117
45.05, 1.0117
45.15, 1.0166
45.25, 1.0215
45.36, 1.0215
45.46, 1.0264
45.56, 1.0313
45.66, 1.0411
45.76, 1.0362
45.86, 1.0313
45.97, 1.0264
46.07, 1.0215
46.17, 1.0166
46.27, 1.0117
46.37, 1.0117
46.48, 1.0117
46.57, 1.0166
46.67, 1.0166
46.78, 1.0215
46.88, 1.0215
46.98, 1.0264
47.08, 1.0313
47.19, 1.0411
47.29, 1.0411
47.39, 1.0362
47.49, 1.0313
47.59, 1.0264
47.69, 1.0166
47.79, 1.0166
47.89, 1.0117
47.99, 1.0117
48.09, 1.0166
48.20, 1.0166
48.30, 1.0215
48.40, 1.0264
48.50, 1.0313
48.60, 1.0362
48.70, 1.0411
48.81, 1.0411
48.91, 1.0362
49.01, 1.0313
49.11, 1.0362
49.21, 1.0215
49.31, 1.0166
49.42, 0.4399
49.51, 0.7087
49.62, 0.8309
49.72, 0.9091
49.82, 0.9531
49.92, 0.9775
50.02, 1.0020
50.12, 1.0117
50.22, 1.0166
50.32, 1.0215
50.43, 1.0264
50.52, 1.0215
50.63, 1.0215
50.73, 1.0215
50.83, 1.0166
50.93, 1.0166
51.03, 1.0215
51.14, 1.0117
51.23, 1.0166
51.34, 1.0215
51.44, 1.0215
51.54, 1.0215
51.64, 1.0313
51.74, 1.0313
51.84, 1.0313
51.95, 1.0313
52.05, 1.0264
52.15, 1.0215
52.25, 1.0264
52.35, 1.0215
52.45, 1.0264
52.55, 1.0215
52.66, 1.0313
52.75, 1.0313
52.86, 1.0264
52.96, 1.0313
53.06, 1.0264
53.16, 1.0264
53.26, 1.0313
53.37, 1.0313
53.47, 1.0362
53.56, 1.0313
53.67, 1.7155
53.77, 1.9501
53.87, 1.4418
53.97, 1.1535
54.07, 1.0606
54.18, 1.0411
54.28, 1.0313
54.38, 1.0313
54.48, 1.0313
54.58, 1.0313
54.68, 1.0411
54.78, 1.0411
54.89, 1.0411
54.99, 1.0411
55.08, 1.0313
55.19, 1.0264
55.29, 1.0215
55.39, 1.0166
55.49, 1.0166
55.60, 1.0166
55.70, 1.0215
55.80, 1.0166
55.90, 1.0264
56.00, 1.0264
56.10, 1.2414
56.20, 1.1632
56.30, 1.1095
56.40, 1.0802
56.51, 1.0606
56.61, 1.0411
56.71, 1.0313
56.81, 1.0264
56.91, 1.0264
57.01, 1.0166
57.11, 1.0166
57.22, 1.0117
57.31, 1.0166
57.42, 1.0264
57.52, 1.0264
57.62, 1.0362
57.72, 1.0411
57.82, 1.0411
57.93, 1.0411
58.03, 1.0362
58.12, 1.0264
58.23, 1.0215
58.33, 1.0215
58.43, 1.0166
58.53, 1.0215
58.63, 1.0166
58.74, 1.0166
58.84, 1.0215
58.94, 1.0215
59.04, 1.0362
59.14, 1.0362
59.25, 1.0411
59.34, 1.0411
59.45, 1.0411
59.55, 1.0362
59.65, 1.0362
59.75, 1.0215
59.85, 1.0215
59.95, 1.0166
60.05, 1.0166
60.16, 1.0166
60.25, 1.0166
60.36, 1.0166
60.46, 1.0215
60.56, 1.0313
60.66, 1.0313
60.76, 1.0362
60.86, 1.0411
60.97, 1.0411
61.07, 1.0362
61.17, 1.0264
61.27, 1.0264
61.37, 1.0166
61.47, 1.0117
61.58, 1.0166
61.67, 1.0166
61.77, 1.0166
61.88, 1.0166
61.98, 1.0215
62.08, 1.0264
62.18, 1.0362
62.28, 1.0411
62.38, 1.0362
62.48, 1.0411
62.59, 1.0362
62.68, 1.0313
62.79, 1.0215
62.89, 1.0166
62.99, 1.0117
63.09, 1.0264
63.20, 1.0117
63.29, 1.0117
63.40, 1.0215
63.50, 1.0264
63.62, 1.0264
63.71, 1.0313
63.80, 1.0411
63.90, 1.0411
64.00, 1.0411
64.11, 1.0313
64.21, 1.0264
64.31, 1.0215
64.41, 1.0166
64.51, 1.0117
64.61, 1.0117
64.72, 1.0117
64.81, 1.0166
64.91, 1.0166
65.02, 1.0264
65.12, 1.0166
65.22, 1.0313
65.32, 1.0411
65.42, 1.0411
65.53, 1.0362
65.63, 1.0362
65.73, 1.0264
65.83, 1.0215
65.94, 1.0166
66.04, 1.0166
66.13, 1.0166
66.24, 1.0117
66.34, 1.0166
66.44, 1.0166
66.54, 1.0215
66.64, 1.0362
66.75, 1.0313
66.84, 1.0362
66.95, 1.0411
67.05, 1.0411
67.15, 1.0264
67.25, 1.0264
67.35, 1.0215
67.45, 1.0215
67.55, 1.0166
67.66, 1.0117
67.76, 1.0166
67.86, 1.0166
67.96, 1.0215
68.06, 1.0264
68.16, 1.0264
68.26, 1.0313
68.36, 1.0313
68.47, 1.0362
68.57, 1.0411
68.66, 1.0313
68.77, 1.0313
68.87, 1.0215
68.98, 1.0166
69.07, 1.0215
69.17, 1.0166
69.27, 1.0166
69.37, 1.0166
69.48, 1.0215
69.58, 1.0215
69.68, 1.0313
69.78, 1.0362
69.88, 1.0362
69.99, 1.0411
70.09, 1.0313
70.18, 1.0362
70.29, 1.0264
70.39, 1.0215
70.49, 1.0215
70.60, 1.0166
70.70, 1.0117
70.80, 1.0117
70.90, 1.0166
71.00, 1.0215
71.10, 1.0264
71.20, 1.0313
71.30, 1.0362
71.40, 1.0411
71.50, 1.0411
71.60, 1.0362
71.71, 1.0313
71.81, 1.0264
71.91, 1.0166
72.02, 1.0166
72.12, 1.0166
72.21, 1.0117
72.32, 1.0166
72.42, 1.0215
72.52, 1.0264
72.62, 1.0264
72.72, 1.0313
72.82, 1.0362
72.93, 1.0362
73.02, 1.0362
73.13, 1.0362
73.23, 1.0313
73.33, 1.0215
73.43, 1.0215
73.53, 1.0166
73.63, 1.0313
73.74, 1.0215
73.83, 1.0166
73.94, 1.0215
74.04, 1.0215
74.14, 1.0166
74.24, 1.0264
74.34, 1.0362
74.44, 1.0362
74.55, 1.0313
74.64, 1.0313
74.75, 1.0264
74.85, 1.0215
74.95, 1.0166
75.05, 1.0166
75.15, 1.0166
75.26, 1.0166
75.36, 1.0166
75.46, 1.0264
75.56, 1.0264
75.66, 1.0215
75.76, 1.0362
75.86, 1.0411
75.96, 1.0411
76.07, 1.0362
76.17, 1.0362
76.27, 1.0264
76.37, 1.0215
76.47, 1.0166
76.58, 1.0166
76.68, 1.0166
76.77, 1.0215
76.88, 1.0215
76.98, 1.0215
77.08, 1.0264
77.18, 1.0411
77.28, 1.0362
77.39, 1.0411
77.49, 1.0362
77.59, 1.0362
77.68, 1.0215
77.79, 1.0215
77.89, 1.0166
77.99, 1.0215
78.09, 1.0215
78.19, 1.0117
78.30, 1.0166
78.40, 1.0166
78.50, 1.0264
78.60, 1.0264
78.71, 1.0313
78.81, 1.0362
78.90, 1.0362
79.01, 1.0362
79.10, 1.0313
79.21, 1.0264
79.31, 1.0215
79.41, 1.0215
79.51, 1.0166
79.61, 1.0166
79.71, 1.0215
79.82, 1.0166
79.91, 1.0215
80.02, 1.0215
80.12, 1.0264
80.23, 1.0362
80.32, 1.0411
80.42, 1.0362
80.53, 1.0411
80.63, 1.0362
80.73, 1.0313
80.83, 1.0215
80.93, 1.0166
81.03, 1.0166
81.14, 1.0166
81.23, 1.0215
81.33, 1.0166
81.44, 1.0215
81.54, 1.0264
81.64, 1.0264
81.74, 1.0362
81.84, 1.0411
81.94, 1.0362
82.04, 1.0362
82.14, 1.0313
82.25, 1.0313
82.35, 1.0215
82.45, 1.0215
82.55, 1.0166
82.65, 1.0117
82.75, 1.0215
82.86, 1.0215
82.95, 1.0264
83.06, 1.0313
83.16, 1.0313
83.26, 1.0411
83.36, 1.0411
83.47, 1.0411
83.57, 1.0362
83.67, 1.0362
83.77, 0.0587
83.87, 0.1173
83.97, 0.1662
84.07, 0.2102
84.17, 0.2590
84.28, 0.3030
84.38, 0.3421
