Sensor Name: tty5
Initial Resistance: 89 ohms
Start Time: 2024-11-04 23:30:05
Time (s), Voltage (V)
32.14, 0.0000
32.24, 0.0000
32.34, 0.0000
32.44, 0.0000
32.54, 0.0000
32.64, 0.0000
32.74, 0.0000
32.84, 0.0000
32.94, 0.0000
33.05, 0.0000
33.14, 0.0000
33.25, 0.0000
33.35, 0.0000
33.45, 0.0000
33.55, 0.0000
33.65, 0.0000
33.75, 0.0000
33.86, 0.0000
33.95, 0.0000
34.06, 0.0000
34.16, 0.0000
34.26, 0.0000
34.36, 0.0000
34.46, 0.0000
34.56, 0.0000
34.66, 0.0000
34.76, 0.0000
34.87, 0.0000
34.97, 0.0000
35.07, 0.0000
35.17, 0.0000
35.27, 0.0000
35.37, 0.0000
35.47, 0.0000
35.57, 0.0000
35.67, 0.0000
35.78, 0.0000
35.88, 0.0000
35.98, 0.0000
36.08, 0.0000
36.18, 0.0000
36.28, 0.0000
36.39, 0.0000
36.49, 0.0000
36.59, 0.0000
36.69, 0.0000
36.79, 0.0000
36.89, 0.0000
36.99, 0.0000
37.09, 0.0000
37.19, 0.0000
37.30, 0.0000
37.40, 0.0000
37.50, 0.0000
37.60, 0.0000
37.70, 0.0000
37.80, 0.0000
37.90, 0.0000
38.00, 0.0000
38.10, 0.0000
38.20, 0.0000
38.31, 0.0000
38.40, 0.0000
38.51, 0.0000
38.61, 0.0000
38.71, 0.0000
38.81, 0.0000
38.92, 0.0000
39.01, 0.0000
39.11, 0.0000
39.22, 0.0000
39.32, 0.0000
39.42, 0.0000
39.52, 0.0000
39.62, 0.0000
39.72, 0.0000
39.83, 0.0000
39.92, 0.0000
40.03, 0.0000
40.13, 0.0000
40.23, 0.0000
40.33, 0.0000
40.43, 0.0000
40.54, 0.0000
40.64, 0.0000
40.73, 0.0000
40.84, 0.0000
40.94, 0.0000
41.04, 0.0000
41.14, 0.0000
41.24, 0.0000
41.34, 0.0000
41.44, 0.0000
41.54, 0.0000
41.64, 0.0000
41.74, 0.0000
41.85, 0.0000
41.95, 0.0000
42.05, 0.0000
42.15, 0.0000
42.25, 0.0000
42.35, 0.0000
42.46, 0.0000
42.56, 0.0000
42.65, 0.0000
42.76, 0.0000
42.86, 0.0000
42.96, 0.0000
43.06, 0.0000
43.16, 0.0000
43.26, 0.0000
43.36, 0.0000
43.47, 0.0000
43.57, 0.0000
43.67, 0.0000
43.77, 0.0000
43.88, 0.0000
43.98, 0.0000
44.08, 0.0000
44.18, 0.0000
44.28, 0.0000
44.38, 0.0000
44.48, 0.0000
44.58, 0.0000
44.68, 0.0000
44.78, 0.0000
44.88, 0.0000
44.98, 0.0000
45.09, 0.0000
45.19, 0.0000
45.29, 0.0000
45.39, 0.0000
45.50, 0.0000
45.59, 0.0000
45.69, 0.0000
45.80, 0.0000
45.90, 0.0000
46.00, 0.0000
46.10, 0.0000
46.20, 0.0000
46.30, 0.0000
46.40, 0.0000
46.50, 0.0000
46.60, 0.0000
46.71, 0.0000
46.81, 0.0000
46.90, 0.0000
47.01, 0.0000
47.11, 0.0000
47.21, 0.0000
47.31, 0.0000
47.42, 0.0000
47.51, 0.0000
47.62, 0.0000
47.72, 0.0000
47.82, 0.0000
47.92, 0.0000
48.02, 0.0000
48.12, 0.0000
48.23, 0.0000
48.33, 0.0000
48.42, 0.0000
48.53, 0.0000
48.63, 0.0000
48.73, 0.0000
48.83, 0.0000
48.93, 0.0000
49.03, 0.0000
49.13, 0.0000
49.24, 0.0000
49.34, 0.0000
49.43, 0.0000
49.54, 0.0000
49.64, 0.0000
49.74, 0.0000
49.84, 0.0000
49.94, 0.0000
50.04, 0.0000
50.14, 0.0000
50.25, 0.0000
50.35, 0.0000
50.45, 0.0000
50.55, 0.0000
50.65, 0.0000
50.75, 0.0000
50.85, 0.0000
50.96, 0.0000
51.05, 0.0000
51.15, 0.0000
51.26, 0.0000
51.36, 0.0000
51.46, 0.0000
51.56, 0.0000
51.66, 0.0000
51.77, 0.0000
51.86, 0.0000
51.97, 0.0000
52.07, 0.0000
52.17, 0.0000
52.27, 0.0000
52.37, 0.0000
52.47, 0.0000
52.57, 0.0000
52.68, 0.0000
52.78, 0.0000
52.88, 0.0000
52.98, 0.0000
53.08, 0.0000
53.18, 0.0000
53.28, 0.0000
53.38, 0.0000
53.48, 0.0000
53.59, 0.0000
53.69, 0.0000
53.79, 0.0000
53.89, 0.0000
53.99, 0.0000
54.09, 0.0000
54.19, 0.0000
54.29, 0.0000
54.39, 0.0000
54.50, 0.0000
54.59, 0.0000
54.70, 0.0000
54.80, 0.0000
54.90, 0.0000
55.00, 0.0000
55.10, 0.0000
55.20, 0.0000
55.31, 0.0000
55.41, 0.0000
55.51, 0.0000
55.61, 0.0000
55.71, 0.0000
55.81, 0.0000
55.91, 0.0000
56.01, 0.0000
56.12, 0.0000
56.22, 0.0000
56.32, 0.0000
56.42, 3.6217
56.52, 3.6266
56.62, 3.6315
56.72, 3.6315
56.82, 3.6315
56.92, 3.6315
57.03, 3.6315
57.13, 0.0000
57.23, 0.0000
57.33, 0.0000
57.43, 0.0000
57.53, 0.0000
57.63, 0.0000
57.73, 0.0000
57.83, 0.0000
57.94, 0.0000
58.04, 3.6315
58.14, 3.6413
58.24, 3.6413
58.34, 3.6461
58.44, 3.6461
58.55, 3.6364
58.65, 0.0000
58.75, 0.0000
58.85, 0.0000
58.95, 0.0000
59.05, 0.0000
59.15, 0.0000
59.25, 0.0000
59.36, 0.0000
59.45, 0.0000
59.56, 0.0000
59.66, 0.0000
59.76, 3.6266
59.86, 3.6217
59.96, 3.6217
60.07, 3.6217
60.17, 3.6315
60.26, 3.6315
60.37, 0.0000
60.47, 0.0000
60.57, 0.0000
60.67, 0.0000
60.77, 0.0000
60.87, 0.0000
60.97, 0.0000
61.08, 0.0000
61.18, 0.0000
61.28, 0.0000
61.38, 0.0000
61.48, 3.6315
61.58, 3.6315
61.68, 3.6413
61.78, 3.6364
61.88, 3.6413
61.99, 0.0000
62.09, 0.0000
62.19, 0.0000
62.29, 0.0000
62.39, 0.0000
62.50, 0.0000
62.60, 0.0000
62.70, 0.0000
62.80, 0.0000
62.90, 0.0049
63.00, 0.0000
63.10, 0.0000
63.20, 3.6168
63.30, 3.6266
63.41, 3.6217
63.51, 3.6217
63.61, 3.6315
63.71, 3.6315
63.81, 0.0000
63.91, 0.0000
64.01, 0.0000
64.12, 0.0000
64.22, 0.0000
64.31, 0.0000
64.42, 0.0000
64.52, 0.0000
64.62, 0.0000
64.72, 0.0000
64.82, 0.0000
64.92, 3.6364
65.02, 3.6315
65.13, 3.6413
65.22, 3.6413
65.33, 3.6413
65.43, 3.6413
65.54, 0.0000
65.63, 0.0000
65.73, 0.0000
65.84, 0.0000
65.94, 0.0000
66.04, 0.0000
66.14, 0.0000
66.24, 0.0000
66.34, 0.0000
66.44, 0.0000
66.54, 0.0000
66.64, 0.0000
66.75, 3.6168
66.84, 3.6217
66.95, 3.6217
67.05, 3.6217
67.15, 3.6315
67.25, 0.0000
67.35, 0.0000
67.46, 0.0000
67.56, 3.6364
67.66, 0.0000
67.76, 0.0000
67.86, 0.0000
67.96, 0.0000
68.06, 0.0000
68.16, 0.0000
68.26, 0.0000
68.36, 3.6315
68.46, 3.6315
68.57, 3.6364
68.67, 3.6461
68.77, 3.6413
68.87, 3.6413
68.97, 3.6461
69.07, 3.6413
69.18, 0.0000
69.28, 0.0000
69.38, 0.0000
69.48, 0.0000
69.58, 0.0000
69.68, 0.0000
69.79, 0.0000
69.89, 0.0000
69.98, 0.0000
70.09, 0.0000
70.19, 0.0000
70.29, 3.6217
70.39, 3.6217
70.49, 3.6266
70.59, 3.6217
70.69, 3.6364
70.80, 0.0147
70.89, 0.0000
71.00, 0.0000
71.10, 0.0000
71.20, 0.0000
71.30, 0.0000
71.40, 0.0000
71.51, 0.0049
71.61, 0.0000
71.70, 0.0098
71.81, 0.0000
71.91, 3.6364
72.01, 3.6364
72.11, 3.6315
72.21, 3.6413
72.31, 3.6413
72.42, 0.0000
72.52, 0.0098
72.62, 0.0000
72.72, 0.0000
72.82, 0.0000
72.92, 0.0000
73.02, 0.0000
73.12, 0.0000
73.22, 0.0000
73.32, 0.0000
73.43, 0.0000
73.53, 0.0000
73.63, 3.6266
73.73, 3.6266
73.83, 3.6266
73.94, 3.6266
74.03, 3.6266
74.14, 0.0000
74.24, 0.0000
74.34, 0.0000
74.44, 0.0000
74.54, 0.0000
74.64, 0.0000
74.74, 0.0000
74.84, 0.0000
74.95, 0.0196
75.05, 0.0049
75.15, 0.0000
75.25, 0.0000
75.35, 3.6413
75.45, 3.6364
75.55, 3.6364
75.65, 3.6461
75.75, 3.6461
75.86, 3.6510
75.96, 0.0000
76.06, 0.0000
76.16, 0.0000
76.26, 0.0000
76.36, 3.0352
76.46, 2.6344
76.56, 2.3509
76.66, 1.8817
76.77, 1.6276
76.87, 3.6461
76.97, 3.6510
77.07, 3.6510
77.17, 3.6364
77.27, 3.6266
77.37, 3.6364
77.47, 3.6266
77.58, 3.6364
77.68, 3.6461
77.78, 3.4702
77.88, 3.1183
77.98, 2.7468
78.09, 2.4096
78.19, 2.1163
78.29, 1.6862
78.39, 3.6461
78.49, 3.6364
78.59, 3.6413
78.69, 3.6413
78.80, 3.6364
78.89, 3.6413
79.00, 3.6364
79.10, 3.6461
79.20, 3.6510
79.30, 3.6461
79.40, 3.6608
79.51, 3.6510
79.60, 3.6510
79.71, 3.6413
79.81, 3.6510
79.91, 3.6510
80.01, 3.6510
80.11, 3.6510
80.21, 3.6510
80.31, 3.6510
80.42, 3.6510
80.51, 3.6559
80.62, 3.6413
80.72, 3.6364
80.82, 3.6315
80.93, 3.6266
81.03, 3.6315
81.12, 3.6315
81.23, 3.6413
81.33, 3.6413
81.43, 3.6413
81.53, 3.6413
81.63, 3.6364
81.74, 3.6413
81.83, 3.6461
81.94, 3.6413
82.04, 3.6413
82.14, 3.6413
82.25, 3.6413
82.34, 3.6413
82.44, 3.6413
82.54, 3.6413
82.65, 3.6510
82.75, 3.6510
82.85, 3.6510
82.96, 3.6510
83.05, 3.6510
83.15, 3.6461
83.26, 3.6510
83.35, 3.6510
83.46, 3.6510
83.56, 3.6559
83.66, 3.6510
83.76, 3.6559
83.86, 3.6608
83.97, 3.6510
84.07, 3.6510
84.17, 3.6364
84.27, 3.6364
84.37, 3.6315
84.47, 3.6315
84.57, 3.6364
84.68, 3.6413
84.77, 3.6413
84.88, 3.6413
84.97, 3.6413
85.08, 3.6364
85.18, 3.6413
85.28, 3.6364
85.38, 3.6413
85.48, 3.6413
85.59, 3.6364
85.69, 3.6413
85.79, 3.6364
85.89, 3.6413
85.99, 3.6413
86.09, 3.6413
86.20, 3.6510
86.30, 3.6559
86.40, 3.6559
86.50, 3.6461
86.60, 3.6413
86.70, 3.6461
86.81, 3.6559
86.90, 3.6461
87.00, 3.6461
87.11, 3.6461
87.21, 3.6510
87.31, 3.6510
87.41, 3.6461
87.51, 3.6559
87.61, 3.6510
87.71, 3.6315
87.81, 3.6315
87.92, 3.6266
88.02, 3.6266
88.12, 3.6364
88.22, 3.6364
88.32, 3.6315
88.42, 3.6413
88.52, 3.6315
