Time, Voltage
2024-12-21 12:17:57.823759, 2.0778
2024-12-21 12:17:57.944245, 1.867
2024-12-21 12:17:58.057307, 1.6559
2024-12-21 12:17:58.168866, 1.4447
2024-12-21 12:17:58.285963, 1.4448
2024-12-21 12:17:58.401910, 1.4445
2024-12-21 12:17:58.510947, 1.4442
2024-12-21 12:17:58.621228, 1.4443
2024-12-21 12:17:58.737595, 1.4443
2024-12-21 12:17:58.854835, 1.4446
2024-12-21 12:17:58.970949, 1.4449
2024-12-21 12:17:59.084905, 1.4451
2024-12-21 12:17:59.202875, 1.4449
2024-12-21 12:17:59.311244, 1.4448
2024-12-21 12:17:59.419579, 1.4448
2024-12-21 12:17:59.534798, 1.4446
2024-12-21 12:17:59.651286, 1.4446
2024-12-21 12:17:59.769037, 1.4442
2024-12-21 12:17:59.886936, 1.4443
2024-12-21 12:17:59.998549, 1.4439
2024-12-21 12:18:00.126339, 1.4437
2024-12-21 12:18:00.256352, 1.4436
2024-12-21 12:18:00.386781, 1.4441
2024-12-21 12:18:00.520989, 1.4442
2024-12-21 12:18:00.650571, 1.444
2024-12-21 12:18:00.783861, 1.4442
2024-12-21 12:18:00.917131, 1.4443
2024-12-21 12:18:01.049307, 1.444
2024-12-21 12:18:01.180581, 1.4442
2024-12-21 12:18:01.313257, 1.4445
2024-12-21 12:18:01.439091, 1.4448
2024-12-21 12:18:01.575186, 1.4449
2024-12-21 12:18:01.707302, 1.4448
2024-12-21 12:18:01.840311, 1.4446
2024-12-21 12:18:01.972271, 1.4447
2024-12-21 12:18:02.102953, 1.4443
2024-12-21 12:18:02.235232, 1.4441
2024-12-21 12:18:02.368446, 1.4442
2024-12-21 12:18:02.502030, 1.4442
2024-12-21 12:18:02.631465, 1.4442
2024-12-21 12:18:02.765839, 1.4446
2024-12-21 12:18:02.897843, 1.4448
2024-12-21 12:18:03.025035, 1.4453
2024-12-21 12:18:03.161394, 1.4459
2024-12-21 12:18:03.293840, 1.446
2024-12-21 12:18:03.425520, 1.4461
2024-12-21 12:18:03.550869, 1.4464
2024-12-21 12:18:03.685234, 1.4463
2024-12-21 12:18:03.816410, 1.4462
2024-12-21 12:18:03.953295, 1.4463
2024-12-21 12:18:04.082745, 1.4465
2024-12-21 12:18:04.213580, 1.4469
2024-12-21 12:18:04.349837, 1.4476
2024-12-21 12:18:04.481744, 1.4482
2024-12-21 12:18:04.613857, 1.4488
2024-12-21 12:18:04.746330, 1.4493
2024-12-21 12:18:04.876708, 1.4495
2024-12-21 12:18:05.004328, 1.4496
2024-12-21 12:18:05.140973, 1.4497
2024-12-21 12:18:05.271059, 1.45
2024-12-21 12:18:05.405201, 1.4505
2024-12-21 12:18:05.530411, 1.451
2024-12-21 12:18:05.668281, 1.4514
2024-12-21 12:18:05.797444, 1.4516
2024-12-21 12:18:05.932606, 1.452
2024-12-21 12:18:06.064398, 1.4523
2024-12-21 12:18:06.194457, 1.4527
2024-12-21 12:18:06.328484, 1.4535
2024-12-21 12:18:06.462009, 1.4544
2024-12-21 12:18:06.592756, 1.455
2024-12-21 12:18:06.724066, 1.4555
2024-12-21 12:18:06.856805, 1.456
2024-12-21 12:18:06.982436, 1.4566
2024-12-21 12:18:07.115958, 1.4571
2024-12-21 12:18:07.247771, 1.4576
2024-12-21 12:18:07.385489, 1.4583
2024-12-21 12:18:07.512802, 1.4589
2024-12-21 12:18:07.649929, 1.4591
2024-12-21 12:18:07.781744, 1.4596
2024-12-21 12:18:07.912122, 1.4603
2024-12-21 12:18:08.043315, 1.461
2024-12-21 12:18:08.177830, 1.4619
2024-12-21 12:18:08.310004, 1.4626
2024-12-21 12:18:08.440624, 1.463
2024-12-21 12:18:08.574278, 1.4636
2024-12-21 12:18:08.706115, 1.4643
2024-12-21 12:18:08.832454, 1.4648
2024-12-21 12:18:08.962784, 1.4658
2024-12-21 12:18:09.098306, 1.4668
2024-12-21 12:18:09.232179, 1.4676
2024-12-21 12:18:09.363058, 1.4682
2024-12-21 12:18:09.493756, 1.4692
2024-12-21 12:18:09.629281, 1.4698
2024-12-21 12:18:09.758577, 1.4706
2024-12-21 12:18:09.892831, 1.4712
2024-12-21 12:18:10.025651, 1.4721
2024-12-21 12:18:10.157610, 1.473
2024-12-21 12:18:10.289359, 1.474
2024-12-21 12:18:10.415065, 1.4749
2024-12-21 12:18:10.550298, 1.4761
2024-12-21 12:18:10.684320, 1.4773
2024-12-21 12:18:10.815953, 1.4782
2024-12-21 12:18:10.944102, 1.4794
2024-12-21 12:18:11.080269, 1.4808
2024-12-21 12:18:11.213035, 1.4822
2024-12-21 12:18:11.344296, 1.4838
2024-12-21 12:18:11.477055, 1.4854
2024-12-21 12:18:11.607077, 1.4865
2024-12-21 12:18:11.740178, 1.4876
2024-12-21 12:18:11.873812, 1.4889
2024-12-21 12:18:12.001291, 1.4896
2024-12-21 12:18:12.136931, 1.4908
2024-12-21 12:18:12.265294, 1.492
2024-12-21 12:18:12.394792, 1.4935
2024-12-21 12:18:12.530969, 1.4942
2024-12-21 12:18:12.665155, 1.4954
2024-12-21 12:18:12.790400, 1.4963
2024-12-21 12:18:12.925986, 1.4973
2024-12-21 12:18:13.061776, 1.4982
2024-12-21 12:18:13.193799, 1.4998
2024-12-21 12:18:13.326067, 1.501
2024-12-21 12:18:13.455737, 1.5024
2024-12-21 12:18:13.589825, 1.5037
2024-12-21 12:18:13.721415, 1.5049
2024-12-21 12:18:13.852918, 1.5062
2024-12-21 12:18:13.985685, 1.5076
2024-12-21 12:18:14.116749, 1.5091
2024-12-21 12:18:14.244280, 1.5105
2024-12-21 12:18:14.376504, 1.5121
2024-12-21 12:18:14.511411, 1.5135
2024-12-21 12:18:14.645278, 1.515
2024-12-21 12:18:14.776761, 1.516
