Time, Voltage
2024-11-26 17:48:47.312466, 1708.90
2024-11-26 17:48:47.432731, 1740.23
2024-11-26 17:48:47.533273, 1771.54
2024-11-26 17:48:47.629768, 1802.83
2024-11-26 17:48:47.745307, 1834.13
2024-11-26 17:48:47.867841, 1865.48
2024-11-26 17:48:47.977509, 1896.75
2024-11-26 17:48:48.096059, 1928.03
2024-11-26 17:48:48.212605, 1959.33
2024-11-26 17:48:48.328883, 1990.64
2024-11-26 17:48:48.432619, 2021.94
2024-11-26 17:48:48.544794, 2053.24
2024-11-26 17:48:48.661994, 2084.52
2024-11-26 17:48:48.764029, 2115.88
2024-11-26 17:48:48.878405, 2147.22
2024-11-26 17:48:48.979935, 2178.54
2024-11-26 17:48:49.095628, 2209.83
2024-11-26 17:48:49.211316, 2241.11
2024-11-26 17:48:49.329932, 2272.35
2024-11-26 17:48:49.446333, 2303.57
2024-11-26 17:48:49.560826, 2334.79
2024-11-26 17:48:49.676908, 2365.95
2024-11-26 17:48:49.810589, 2397.16
2024-11-26 17:48:49.926152, 2428.38
2024-11-26 17:48:50.043524, 2459.63
2024-11-26 17:48:50.168545, 2490.83
2024-11-26 17:48:50.275341, 2522.05
2024-11-26 17:48:50.393160, 2553.20
2024-11-26 17:48:50.510549, 2584.35
2024-11-26 17:48:50.625804, 2615.53
2024-11-26 17:48:50.742512, 2646.69
2024-11-26 17:48:50.859581, 2677.89
2024-11-26 17:48:50.975948, 2659.96
2024-11-26 17:48:51.092493, 2643.85
2024-11-26 17:48:51.206880, 2629.40
2024-11-26 17:48:51.325724, 2616.37
2024-11-26 17:48:51.442180, 2604.63
2024-11-26 17:48:51.546080, 2594.09
2024-11-26 17:48:51.658937, 2584.61
2024-11-26 17:48:51.775977, 2576.07
2024-11-26 17:48:51.890618, 2568.41
2024-11-26 17:48:52.006121, 2561.52
2024-11-26 17:48:52.125134, 2555.29
2024-11-26 17:48:52.239565, 2549.71
2024-11-26 17:48:52.356982, 2544.75
2024-11-26 17:48:52.473898, 2540.29
2024-11-26 17:48:52.591310, 2536.30
2024-11-26 17:48:52.706249, 2532.72
2024-11-26 17:48:52.822398, 2529.46
2024-11-26 17:48:52.940767, 2526.56
2024-11-26 17:48:53.057318, 2523.96
2024-11-26 17:48:53.173951, 2521.63
2024-11-26 17:48:53.288747, 2519.53
2024-11-26 17:48:53.405247, 2517.60
2024-11-26 17:48:53.520868, 2515.83
2024-11-26 17:48:53.624621, 2514.23
2024-11-26 17:48:53.737996, 2512.78
2024-11-26 17:48:53.856373, 2511.48
2024-11-26 17:48:53.972919, 2510.33
2024-11-26 17:48:54.094764, 2509.29
2024-11-26 17:48:54.206218, 2508.35
