Time, Voltage
2024-11-26 16:49:50.923282, 2
2024-11-26 16:49:51.071048, 3502.37
2024-11-26 16:49:51.171738, 3502.55
2024-11-26 16:49:51.286909, 3502.74
2024-11-26 16:49:51.389280, 3502.96
2024-11-26 16:49:51.492740, 3503.64
2024-11-26 16:49:51.602637, 3503.88
2024-11-26 16:49:51.713756, 3503.91
2024-11-26 16:49:51.829949, 3503.60
2024-11-26 16:49:51.950149, 3503.36
2024-11-26 16:49:52.060132, 3503.73
2024-11-26 16:49:52.178866, 3503.88
2024-11-26 16:49:52.297251, 3503.41
2024-11-26 16:49:52.406603, 3503.01
2024-11-26 16:49:52.515233, 3502.65
2024-11-26 16:49:52.630304, 3502.51
2024-11-26 16:49:52.745291, 3502.27
2024-11-26 16:49:52.847230, 3502.11
2024-11-26 16:49:52.964810, 3502.04
2024-11-26 16:49:53.078626, 3502.51
2024-11-26 16:49:53.196129, 3502.60
2024-11-26 16:49:53.311190, 3502.64
2024-11-26 16:49:53.427859, 3503.09
2024-11-26 16:49:53.531666, 3503.57
2024-11-26 16:49:53.649945, 3504.30
2024-11-26 16:49:53.764471, 3504.94
2024-11-26 16:49:53.881061, 3506.24
2024-11-26 16:49:53.984582, 3507.68
2024-11-26 16:49:54.097699, 3509.04
2024-11-26 16:49:54.214251, 3509.77
2024-11-26 16:49:54.331978, 3510.24
2024-11-26 16:49:54.430694, 3510.87
2024-11-26 16:49:54.553462, 3511.39
2024-11-26 16:49:54.663843, 3511.19
2024-11-26 16:49:54.777027, 3510.76
2024-11-26 16:49:54.880103, 3510.22
2024-11-26 16:49:54.986688, 3509.96
2024-11-26 16:49:55.093806, 3509.61
2024-11-26 16:49:55.206650, 3509.13
2024-11-26 16:49:55.311140, 3508.99
2024-11-26 16:49:55.429315, 3508.77
2024-11-26 16:49:55.533917, 3508.42
2024-11-26 16:49:55.644862, 3508.30
2024-11-26 16:49:55.759766, 3508.72
2024-11-26 16:49:55.871045, 3508.96
2024-11-26 16:49:55.978499, 3509.03
2024-11-26 16:49:56.083819, 3508.24
2024-11-26 16:49:56.195771, 3507.58
2024-11-26 16:49:56.300594, 3506.90
2024-11-26 16:49:56.411685, 3505.43
2024-11-26 16:49:56.527566, 3504.12
2024-11-26 16:49:56.632486, 3503.10
2024-11-26 16:49:56.744803, 3502.11
2024-11-26 16:49:56.859403, 3501.42
2024-11-26 16:49:56.972008, 3500.89
2024-11-26 16:49:57.076304, 3499.94
2024-11-26 16:49:57.183641, 3499.26
2024-11-26 16:49:57.314407, 3498.55
2024-11-26 16:49:57.432932, 3498.36
2024-11-26 16:49:57.544306, 3498.68
2024-11-26 16:49:57.657396, 3498.77
2024-11-26 16:49:57.761616, 3498.79
2024-11-26 16:49:57.865871, 3498.75
2024-11-26 16:49:57.977564, 3498.87
2024-11-26 16:49:58.095328, 3499.05
2024-11-26 16:49:58.198862, 3499.72
2024-11-26 16:49:58.310539, 3500.28
2024-11-26 16:49:58.423567, 3500.66
2024-11-26 16:49:58.529185, 3501.07
2024-11-26 16:49:58.633494, 3501.41
2024-11-26 16:49:58.732648, 3501.77
2024-11-26 16:49:58.850431, 3502.07
2024-11-26 16:49:58.954504, 3502.27
2024-11-26 16:49:59.057980, 3502.24
2024-11-26 16:49:59.163805, 3502.12
2024-11-26 16:49:59.276160, 3502.12
2024-11-26 16:49:59.396280, 3502.13
2024-11-26 16:49:59.506903, 3502.29
2024-11-26 16:49:59.611720, 3502.68
2024-11-26 16:49:59.731871, 3503.04
2024-11-26 16:49:59.850478, 3503.01
2024-11-26 16:49:59.956997, 3503.07
2024-11-26 16:50:00.077492, 3503.54
2024-11-26 16:50:00.196927, 3503.89
2024-11-26 16:50:00.300727, 3504.31
2024-11-26 16:50:00.407440, 3504.67
2024-11-26 16:50:00.518729, 3505.02
2024-11-26 16:50:00.642347, 3505.17
2024-11-26 16:50:00.754840, 3504.86
2024-11-26 16:50:00.867221, 3504.63
2024-11-26 16:50:00.971749, 3504.89
2024-11-26 16:50:01.088369, 3504.45
2024-11-26 16:50:01.192899, 3503.98
2024-11-26 16:50:01.304812, 3503.43
2024-11-26 16:50:01.419813, 3502.97
2024-11-26 16:50:01.524660, 3502.52
2024-11-26 16:50:01.645229, 3502.05
2024-11-26 16:50:01.756525, 3501.18
2024-11-26 16:50:01.876067, 3499.71
2024-11-26 16:50:01.989913, 3498.39
2024-11-26 16:50:02.096894, 3497.27
2024-11-26 16:50:02.222056, 3496.90
2024-11-26 16:50:02.329243, 3496.39
2024-11-26 16:50:02.434430, 3496.11
2024-11-26 16:50:02.541395, 3495.86
2024-11-26 16:50:02.652360, 3495.02
2024-11-26 16:50:02.756853, 3494.21
2024-11-26 16:50:02.870003, 3493.54
2024-11-26 16:50:02.983107, 3493.58
2024-11-26 16:50:03.089167, 3493.67
2024-11-26 16:50:03.203252, 3493.64
2024-11-26 16:50:03.322376, 3493.59
2024-11-26 16:50:03.427126, 3493.60
2024-11-26 16:50:03.533137, 3493.69
2024-11-26 16:50:03.653388, 3493.74
2024-11-26 16:50:03.768161, 3494.42
2024-11-26 16:50:03.882060, 3495.16
2024-11-26 16:50:03.988023, 3496.28
2024-11-26 16:50:04.103073, 3497.26
2024-11-26 16:50:04.221474, 3498.02
2024-11-26 16:50:04.328823, 3498.63
2024-11-26 16:50:04.440013, 3498.95
2024-11-26 16:50:04.542911, 3499.29
2024-11-26 16:50:04.644344, 3499.56
2024-11-26 16:50:04.754022, 3499.20
2024-11-26 16:50:04.879966, 3498.86
2024-11-26 16:50:04.985150, 3498.73
2024-11-26 16:50:05.105725, 3498.68
2024-11-26 16:50:05.225641, 3498.68
2024-11-26 16:50:05.338217, 3498.72
2024-11-26 16:50:05.449914, 3498.87
2024-11-26 16:50:05.553961, 3499.19
2024-11-26 16:50:05.675597, 3499.64
2024-11-26 16:50:05.787112, 3499.93
