Time, Voltage
2024-11-26 17:41:19.452544, 2554.63
2024-11-26 17:41:19.591222, 2554.65
2024-11-26 17:41:19.703335, 2554.66
2024-11-26 17:41:19.800225, 2554.67
2024-11-26 17:41:19.903660, 2554.69
2024-11-26 17:41:20.004717, 2554.72
2024-11-26 17:41:20.087755, 2554.71
2024-11-26 17:41:20.187603, 2554.69
2024-11-26 17:41:20.284770, 2554.67
2024-11-26 17:41:20.388474, 2554.71
2024-11-26 17:41:20.485682, 2554.73
2024-11-26 17:41:20.585564, 2554.76
2024-11-26 17:41:20.684547, 2554.84
2024-11-26 17:41:20.785494, 2554.89
2024-11-26 17:41:20.886683, 2554.93
2024-11-26 17:41:20.984487, 2554.99
2024-11-26 17:41:21.081708, 2555.07
2024-11-26 17:41:21.185749, 2555.22
2024-11-26 17:41:21.286260, 2555.38
2024-11-26 17:41:21.386802, 2555.49
2024-11-26 17:41:21.486605, 2555.56
2024-11-26 17:41:21.586514, 2555.63
2024-11-26 17:41:21.684752, 2555.68
2024-11-26 17:41:21.785571, 2555.77
2024-11-26 17:41:21.884072, 2555.90
2024-11-26 17:41:21.984127, 2555.89
2024-11-26 17:41:22.086500, 2555.90
2024-11-26 17:41:22.184386, 2555.92
2024-11-26 17:41:22.283878, 2555.93
2024-11-26 17:41:22.384678, 2555.93
2024-11-26 17:41:22.483781, 2555.92
2024-11-26 17:41:22.583815, 2555.92
2024-11-26 17:41:22.685256, 2555.91
2024-11-26 17:41:22.783574, 2555.87
2024-11-26 17:41:22.882146, 2555.86
2024-11-26 17:41:22.984217, 2555.87
2024-11-26 17:41:23.084154, 2555.86
2024-11-26 17:41:23.182870, 2555.87
2024-11-26 17:41:23.282707, 2555.89
2024-11-26 17:41:23.383903, 2555.91
2024-11-26 17:41:23.482513, 2555.93
2024-11-26 17:41:23.580333, 2555.96
2024-11-26 17:41:23.682239, 2556.02
2024-11-26 17:41:23.782456, 2556.06
2024-11-26 17:41:23.881472, 2556.02
2024-11-26 17:41:23.981176, 2555.94
2024-11-26 17:41:24.082110, 2555.82
2024-11-26 17:41:24.183628, 2555.70
