Time, Voltage1, Voltage2
2024-12-28 14:19:03.892771, 2.0766, 
2024-12-28 14:19:04.053114, 2.06535, 
2024-12-28 14:19:04.225035, 2.05451, 
2024-12-28 14:19:04.389406, 2.04315, 
2024-12-28 14:19:04.527639, 2.0433, 
2024-12-28 14:19:04.678971, 2.04386, 
2024-12-28 14:19:04.821355, 2.04409, 
2024-12-28 14:19:04.984862, 2.04364, 
2024-12-28 14:19:05.132475, 2.04352, 
2024-12-28 14:19:05.286237, 2.04416, 
2024-12-28 14:19:05.427135, 2.04401, 
2024-12-28 14:19:05.565733, 2.04401, 
2024-12-28 14:19:05.699209, 2.0439, 
2024-12-28 14:19:05.831000, 2.04454, 
2024-12-28 14:19:05.972133, 2.04386, 
2024-12-28 14:19:06.139771, 2.04428, 
2024-12-28 14:19:06.283447, 2.04413, 
2024-12-28 14:19:06.418317, 2.04416, 
2024-12-28 14:19:06.559382, 2.04364, 
2024-12-28 14:19:06.711312, 2.04401, 
2024-12-28 14:19:06.843399, 2.04356, 
2024-12-28 14:19:06.993494, 2.04383, 
2024-12-28 14:19:07.133555, 2.04386, 
2024-12-28 14:19:07.269191, 2.04401, 
2024-12-28 14:19:07.401711, 2.04394, 
2024-12-28 14:19:07.531274, 2.04416, 
2024-12-28 14:19:07.674746, 2.04428, 
2024-12-28 14:19:07.804436, 2.0445, 
2024-12-28 14:19:07.935980, 2.04439, 
2024-12-28 14:19:08.083924, 2.04446, 
2024-12-28 14:19:08.219672, 2.0439, 
2024-12-28 14:19:08.360773, 2.0439, 
2024-12-28 14:19:08.516611, 2.04379, 
2024-12-28 14:19:08.732031, 2.04371, 
2024-12-28 14:19:08.888001, 2.0433, 
2024-12-28 14:19:09.070502, 2.04398, 
2024-12-28 14:19:09.235572, 2.04334, 
2024-12-28 14:19:09.384360, 2.04353, 
2024-12-28 14:19:09.526092, 2.04364, 
2024-12-28 14:19:09.804264, 2.04424, 
2024-12-28 14:19:10.029330, 2.04382, 
2024-12-28 14:19:10.208110, 2.04409, 
2024-12-28 14:19:10.363625, 2.04386, 
2024-12-28 14:19:10.520915, 2.0442, 
2024-12-28 14:19:10.682568, 2.04386, 
2024-12-28 14:19:10.844681, 2.04409, 
2024-12-28 14:19:10.996061, 2.0439, 
2024-12-28 14:19:11.158683, 2.04431, 
2024-12-28 14:19:11.318324, 2.0439, 
2024-12-28 14:19:11.481613, 2.04454, 
2024-12-28 14:19:11.633704, 2.04424, 
2024-12-28 14:19:11.809856, 2.04443, 
2024-12-28 14:19:11.961136, 2.04379, 
2024-12-28 14:19:12.120026, 2.04416, 
2024-12-28 14:19:12.271043, 2.04311, 
2024-12-28 14:19:12.434047, 2.04338, 
2024-12-28 14:19:12.619703, 2.04304, 
2024-12-28 14:19:12.781202, 2.04341, 
2024-12-28 14:19:12.929988, 2.04289, 
2024-12-28 14:19:13.089711, 2.04356, 
2024-12-28 14:19:13.246185, 2.04356, 
2024-12-28 14:19:13.413322, 2.04405, 
2024-12-28 14:19:13.567362, 2.04383, 
2024-12-28 14:19:13.730199, 2.04439, 
2024-12-28 14:19:13.892641, 2.04428, 
2024-12-28 14:19:14.052035, 2.04491, 
2024-12-28 14:19:14.220187, 2.04476, 
2024-12-28 14:19:14.378242, 2.04521, 
2024-12-28 14:19:14.539143, 2.04491, 
2024-12-28 14:19:14.701387, 2.04514, 
2024-12-28 14:19:14.862939, 2.0445, 
2024-12-28 14:19:15.032272, 2.04469, 
2024-12-28 14:19:15.195000, 2.04443, 
2024-12-28 14:19:15.359121, 2.0448, 
2024-12-28 14:19:15.524185, 2.04488, 
2024-12-28 14:19:15.701065, 2.04533, 
2024-12-28 14:19:15.872712, 2.04536, 
2024-12-28 14:19:16.031833, 2.04551, 
2024-12-28 14:19:16.194391, 2.04536, 
2024-12-28 14:19:16.367082, 2.04544, 
2024-12-28 14:19:16.537624, 2.04488, 
2024-12-28 14:19:16.704180, 2.04503, 
2024-12-28 14:19:16.876115, 2.0454, 
2024-12-28 14:19:17.029531, 2.04555, 
2024-12-28 14:19:17.176635, 2.04518, 
2024-12-28 14:19:17.336392, 2.0457, 
2024-12-28 14:19:17.490570, 2.04563, 
2024-12-28 14:19:17.641674, 2.04533, 
2024-12-28 14:19:17.800649, 2.04503, 
2024-12-28 14:19:17.955140, 2.04525, 
2024-12-28 14:19:18.115186, 2.04469, 
2024-12-28 14:19:18.269134, 2.04484, 
2024-12-28 14:19:18.427283, 2.04443, 
2024-12-28 14:19:18.573439, 2.04454, 
2024-12-28 14:19:18.729272, 2.04405, 
2024-12-28 14:19:18.877077, 2.04431, 
2024-12-28 14:19:19.062794, 2.04405, 
2024-12-28 14:19:19.224027, 2.04431, 
2024-12-28 14:19:19.383445, 2.04439, 
2024-12-28 14:19:19.535136, 2.04465, 
2024-12-28 14:19:19.694520, 2.04443, 
2024-12-28 14:19:19.856668, 2.04443, 
2024-12-28 14:19:20.010385, 2.04431, 
2024-12-28 14:19:20.168002, 2.04413, 
2024-12-28 14:19:20.327950, 2.04431, 
2024-12-28 14:19:20.477595, 2.04469, 
2024-12-28 14:19:20.640228, 2.04472, 
2024-12-28 14:19:20.797055, 2.0451, 
2024-12-28 14:19:20.942936, 2.04521, 
2024-12-28 14:19:21.110755, 2.04502, 
2024-12-28 14:19:21.269243, 2.04484, 
2024-12-28 14:19:21.431273, 2.04472, 
2024-12-28 14:19:21.590740, 2.04427, 
2024-12-28 14:19:21.746477, 2.04427, 
2024-12-28 14:19:21.901218, 2.04435, 
2024-12-28 14:19:22.055206, 2.04454, 
2024-12-28 14:19:22.242112, 2.04465, 
2024-12-28 14:19:22.399297, 2.04487, 
2024-12-28 14:19:22.560995, 2.0448, 
2024-12-28 14:19:22.722927, 2.04521, 
2024-12-28 14:19:22.876457, 2.04548, 
2024-12-28 14:19:23.036599, 2.04536, 
2024-12-28 14:19:23.196398, 2.0448, 
2024-12-28 14:19:23.421488, 2.04503, 
2024-12-28 14:19:23.589486, 2.04416, 
2024-12-28 14:19:23.748562, 2.04379, 
2024-12-28 14:19:23.898662, 2.0433, 
2024-12-28 14:19:24.060629, 2.04352, 
2024-12-28 14:19:24.227112, 2.0433, 
2024-12-28 14:19:24.383730, 2.0439, 
2024-12-28 14:19:24.548872, 2.04386, 
2024-12-28 14:19:24.706739, 2.04416, 
2024-12-28 14:19:24.868411, 2.04401, 
2024-12-28 14:19:25.029778, 2.04409, 
2024-12-28 14:19:25.190294, 2.04364, 
2024-12-28 14:19:25.384059, 2.04394, 
2024-12-28 14:19:25.543596, 2.04397, 
2024-12-28 14:19:25.708366, 2.04446, 
2024-12-28 14:19:25.870695, 2.0445, 
2024-12-28 14:19:26.038149, 2.04476, 
2024-12-28 14:19:26.201996, 2.04416, 
2024-12-28 14:19:26.364192, 2.04405, 
2024-12-28 14:19:26.518201, 2.04337, 
2024-12-28 14:19:26.690006, 2.04345, 
2024-12-28 14:19:26.869665, 2.04322, 
2024-12-28 14:19:27.034969, 2.04352, 
2024-12-28 14:19:27.208807, 2.04386, 
2024-12-28 14:19:27.367081, 2.04446, 
2024-12-28 14:19:27.540193, 2.04397, 
2024-12-28 14:19:27.719427, 2.04412, 
2024-12-28 14:19:27.893892, 2.04375, 
2024-12-28 14:19:28.064136, 2.04379, 
2024-12-28 14:19:28.235997, 2.0436, 
2024-12-28 14:19:28.396868, 2.04412, 
2024-12-28 14:19:28.587095, 2.04431, 
2024-12-28 14:19:28.750117, 2.04491, 
2024-12-28 14:19:29.095587, 2.0445, 
