Time, Voltage
2024-12-03 17:14:20.237261, 2.741
2024-12-03 17:14:20.320537, 2.8611
2024-12-03 17:14:20.417052, 2.9815
2024-12-03 17:14:20.513420, 3.1019
2024-12-03 17:14:20.592008, 3.1017
2024-12-03 17:14:20.671599, 3.1017
2024-12-03 17:14:20.743425, 3.1019
2024-12-03 17:14:20.815769, 3.1016
2024-12-03 17:14:20.896098, 3.1017
2024-12-03 17:14:20.972752, 3.1019
2024-12-03 17:14:21.046517, 3.1018
2024-12-03 17:14:21.116375, 3.1021
2024-12-03 17:14:21.192418, 3.1032
2024-12-03 17:14:21.270906, 3.1035
2024-12-03 17:14:21.349811, 3.1039
2024-12-03 17:14:21.431824, 3.104
2024-12-03 17:14:21.521185, 3.1045
2024-12-03 17:14:21.602449, 3.104
2024-12-03 17:14:21.686317, 3.1041
2024-12-03 17:14:21.772046, 3.1042
2024-12-03 17:14:21.847610, 3.1045
2024-12-03 17:14:21.928621, 3.1046
2024-12-03 17:14:21.990131, 3.1047
2024-12-03 17:14:22.055630, 3.1057
2024-12-03 17:14:22.115700, 3.1057
2024-12-03 17:14:22.174162, 3.1058
2024-12-03 17:14:22.236585, 3.1055
2024-12-03 17:14:22.317015, 3.1054
2024-12-03 17:14:22.384589, 3.1048
2024-12-03 17:14:22.447893, 3.1048
2024-12-03 17:14:22.510465, 3.1045
2024-12-03 17:14:22.574862, 3.1048
2024-12-03 17:14:22.639225, 3.1052
2024-12-03 17:14:22.704740, 3.1054
2024-12-03 17:14:22.773174, 3.106
2024-12-03 17:14:22.855978, 3.1068
2024-12-03 17:14:22.925578, 3.1072
2024-12-03 17:14:22.994700, 3.1072
2024-12-03 17:14:23.057438, 3.1072
2024-12-03 17:14:23.125116, 3.1074
2024-12-03 17:14:23.193556, 3.1078
2024-12-03 17:14:23.257901, 3.1078
2024-12-03 17:14:23.334557, 3.1081
2024-12-03 17:14:23.403166, 3.1083
2024-12-03 17:14:23.477818, 3.1084
2024-12-03 17:14:23.544611, 3.1075
2024-12-03 17:14:23.610520, 3.1071
2024-12-03 17:14:23.674811, 3.1071
2024-12-03 17:14:23.736840, 3.1071
2024-12-03 17:14:23.798010, 3.1068
2024-12-03 17:14:23.856767, 3.1072
2024-12-03 17:14:23.915863, 3.1077
2024-12-03 17:14:23.979209, 3.1081
2024-12-03 17:14:24.037715, 3.1079
2024-12-03 17:14:24.100878, 3.1077
2024-12-03 17:14:24.166299, 3.1075
2024-12-03 17:14:24.225706, 3.1072
2024-12-03 17:14:24.287267, 3.1065
2024-12-03 17:14:24.351792, 3.1069
2024-12-03 17:14:24.412280, 3.1071
2024-12-03 17:14:24.472954, 3.1075
2024-12-03 17:14:24.527281, 3.108
2024-12-03 17:14:24.577070, 3.1086
2024-12-03 17:14:24.629187, 3.1081
2024-12-03 17:14:24.680614, 3.1077
2024-12-03 17:14:24.728921, 3.1075
2024-12-03 17:14:24.783739, 3.1071
2024-12-03 17:14:24.837235, 3.1074
2024-12-03 17:14:24.889699, 3.1077
2024-12-03 17:14:24.944127, 3.1083
2024-12-03 17:14:24.996496, 3.1084
2024-12-03 17:14:25.051107, 3.1084
2024-12-03 17:14:25.100885, 3.1081
2024-12-03 17:14:25.148946, 3.1081
2024-12-03 17:14:25.199426, 3.1076
2024-12-03 17:14:25.246470, 3.1075
2024-12-03 17:14:25.298556, 3.1077
2024-12-03 17:14:25.346837, 3.1077
2024-12-03 17:14:25.402987, 3.1078
2024-12-03 17:14:25.454321, 3.1082
2024-12-03 17:14:25.509803, 3.1087
