Time, Voltage
2024-11-26 18:41:44.851451, 3288
2024-11-26 18:41:44.965977, 3286
2024-11-26 18:41:45.059501, 3296
2024-11-26 18:41:45.145270, 3293
2024-11-26 18:41:45.234354, 3299
2024-11-26 18:41:45.316883, 3297
2024-11-26 18:41:45.431409, 3295
2024-11-26 18:41:45.520747, 3297
2024-11-26 18:41:45.592894, 3297
2024-11-26 18:41:45.661268, 3297
2024-11-26 18:41:45.730898, 3302
2024-11-26 18:41:45.800919, 3305
2024-11-26 18:41:45.871440, 3298
2024-11-26 18:41:45.938242, 3309
2024-11-26 18:41:45.999249, 3306
2024-11-26 18:41:46.063514, 3312
2024-11-26 18:41:46.127034, 3310
2024-11-26 18:41:46.191248, 3313
2024-11-26 18:41:46.259495, 3297
2024-11-26 18:41:46.342014, 3302
2024-11-26 18:41:46.442630, 3299
2024-11-26 18:41:46.542201, 3295
2024-11-26 18:41:46.642224, 3289
2024-11-26 18:41:46.742972, 3284
2024-11-26 18:41:46.842230, 3292
2024-11-26 18:41:46.942150, 3290
2024-11-26 18:41:47.042204, 3291
2024-11-26 18:41:47.142197, 3295
2024-11-26 18:41:47.242283, 3289
2024-11-26 18:41:47.342542, 3282
2024-11-26 18:41:47.442255, 3272
2024-11-26 18:41:47.542209, 3274
2024-11-26 18:41:47.642228, 3271
2024-11-26 18:41:47.741816, 3277
2024-11-26 18:41:47.842221, 3280
2024-11-26 18:41:47.942213, 3280
2024-11-26 18:41:48.042228, 3273
2024-11-26 18:41:48.142148, 3264
2024-11-26 18:41:48.242202, 3279
2024-11-26 18:41:48.341729, 3292
2024-11-26 18:41:48.442207, 3313
2024-11-26 18:41:48.542233, 3308
2024-11-26 18:41:48.642755, 3316
2024-11-26 18:41:48.742279, 3304
2024-11-26 18:41:48.842287, 3294
2024-11-26 18:41:48.942147, 3293
2024-11-26 18:41:49.042218, 3295
2024-11-26 18:41:49.142201, 3302
2024-11-26 18:41:49.242230, 3295
2024-11-26 18:41:49.342341, 3281
2024-11-26 18:41:49.442232, 3268
2024-11-26 18:41:49.542231, 3282
2024-11-26 18:41:49.642225, 3295
2024-11-26 18:41:49.743022, 3297
2024-11-26 18:41:49.842198, 3293
2024-11-26 18:41:49.942200, 3297
2024-11-26 18:41:50.041376, 3304
2024-11-26 18:41:50.142230, 3303
2024-11-26 18:41:50.242198, 3312
2024-11-26 18:41:50.342708, 3310
2024-11-26 18:41:50.441791, 3310
2024-11-26 18:41:50.542223, 3299
2024-11-26 18:41:50.641741, 3285
2024-11-26 18:41:50.742191, 3297
2024-11-26 18:41:50.842195, 3296
2024-11-26 18:41:50.942209, 3293
2024-11-26 18:41:51.042203, 3299
2024-11-26 18:41:51.141366, 3297
2024-11-26 18:41:51.242222, 3301
2024-11-26 18:41:51.342298, 3303
2024-11-26 18:41:51.442215, 3304
2024-11-26 18:41:51.542207, 3307
2024-11-26 18:41:51.642221, 3318
2024-11-26 18:41:51.742215, 3303
2024-11-26 18:41:51.842213, 3317
2024-11-26 18:41:51.942195, 3312
2024-11-26 18:41:52.041607, 3303
2024-11-26 18:41:52.142227, 3305
2024-11-26 18:41:52.242830, 3283
2024-11-26 18:41:52.342351, 3288
2024-11-26 18:41:52.442220, 3294
2024-11-26 18:41:52.542094, 3288
2024-11-26 18:41:52.641229, 3283
2024-11-26 18:41:52.741806, 3295
2024-11-26 18:41:52.842219, 3289
2024-11-26 18:41:52.941196, 3285
2024-11-26 18:41:53.041224, 3293
2024-11-26 18:41:53.141202, 3289
2024-11-26 18:41:53.241251, 3298
2024-11-26 18:41:53.341649, 3298
2024-11-26 18:41:53.441774, 3300
2024-11-26 18:41:53.541509, 3297
2024-11-26 18:41:53.641208, 3296
2024-11-26 18:41:53.741267, 3297
2024-11-26 18:41:53.841380, 3292
2024-11-26 18:41:53.941573, 3299
2024-11-26 18:41:54.041381, 3290
2024-11-26 18:41:54.141254, 3294
2024-11-26 18:41:54.241231, 3300
2024-11-26 18:41:54.341332, 3293
2024-11-26 18:41:54.441213, 3292
2024-11-26 18:41:54.541193, 3296
2024-11-26 18:41:54.641211, 3287
2024-11-26 18:41:54.741362, 3284
2024-11-26 18:41:54.841277, 3284
2024-11-26 18:41:54.941332, 3274
2024-11-26 18:41:55.041918, 3279
2024-11-26 18:41:55.141327, 3278
2024-11-26 18:41:55.241313, 3284
2024-11-26 18:41:55.341827, 3289
2024-11-26 18:41:55.441192, 3278
2024-11-26 18:41:55.541703, 3288
2024-11-26 18:41:55.641325, 3292
2024-11-26 18:41:55.741320, 3296
2024-11-26 18:41:55.841200, 3302
2024-11-26 18:41:55.941191, 3315
2024-11-26 18:41:56.040879, 3318
2024-11-26 18:41:56.141276, 3311
2024-11-26 18:41:56.241184, 3295
2024-11-26 18:41:56.340882, 3298
2024-11-26 18:41:56.441577, 3304
2024-11-26 18:41:56.541306, 3310
2024-11-26 18:41:56.641294, 3314
2024-11-26 18:41:56.741214, 3312
2024-11-26 18:41:56.841275, 3315
2024-11-26 18:41:56.941194, 3301
2024-11-26 18:41:57.041222, 3289
2024-11-26 18:41:57.141196, 3296
2024-11-26 18:41:57.241189, 3299
2024-11-26 18:41:57.341542, 3297
2024-11-26 18:41:57.442017, 3306
2024-11-26 18:41:57.541605, 3293
2024-11-26 18:41:57.641189, 3299
2024-11-26 18:41:57.741189, 3293
2024-11-26 18:41:57.841629, 3285
2024-11-26 18:41:57.941904, 3300
2024-11-26 18:41:58.041717, 3317
2024-11-26 18:41:58.141714, 3316
2024-11-26 18:41:58.241313, 3318
2024-11-26 18:41:58.341832, 3313
2024-11-26 18:41:58.441422, 3309
2024-11-26 18:41:58.540813, 3310
2024-11-26 18:41:58.641348, 3296
2024-11-26 18:41:58.741872, 3307
2024-11-26 18:41:58.841213, 3308
2024-11-26 18:41:58.941212, 3308
2024-11-26 18:41:59.041213, 3305
2024-11-26 18:41:59.141409, 3296
2024-11-26 18:41:59.241316, 3299
2024-11-26 18:41:59.340828, 3309
2024-11-26 18:41:59.441179, 3296
2024-11-26 18:41:59.541924, 3303
2024-11-26 18:41:59.641217, 3308
2024-11-26 18:41:59.741739, 3297
2024-11-26 18:41:59.841191, 3294
2024-11-26 18:41:59.941013, 3290
2024-11-26 18:42:00.041204, 3284
2024-11-26 18:42:00.141204, 3289
2024-11-26 18:42:00.240895, 3285
2024-11-26 18:42:00.341414, 3286
2024-11-26 18:42:00.441177, 3297
2024-11-26 18:42:00.541183, 3289
2024-11-26 18:42:00.641183, 3288
2024-11-26 18:42:00.740904, 3292
2024-11-26 18:42:00.841635, 3296
2024-11-26 18:42:00.941715, 3297
2024-11-26 18:42:01.041166, 3297
2024-11-26 18:42:01.141209, 3305
2024-11-26 18:42:01.241195, 3309
2024-11-26 18:42:01.341719, 3306
2024-11-26 18:42:01.441182, 3300
2024-11-26 18:42:01.697145, 3303
