Time, Voltage
2024-11-26 17:28:49.359510, 1620.49
2024-11-26 17:28:49.530616, 1656.34
2024-11-26 17:28:49.636045, 1692.17
2024-11-26 17:28:49.779731, 1728.00
2024-11-26 17:28:49.964798, 1763.86
2024-11-26 17:28:50.062311, 1799.70
2024-11-26 17:28:50.165581, 1835.54
2024-11-26 17:28:50.265209, 1871.41
2024-11-26 17:28:50.380016, 1907.28
2024-11-26 17:28:50.495616, 1943.16
2024-11-26 17:28:50.613136, 1979.04
2024-11-26 17:28:50.729424, 2014.94
2024-11-26 17:28:50.842442, 2050.83
2024-11-26 17:28:50.943942, 2086.67
2024-11-26 17:28:51.061346, 2122.55
2024-11-26 17:28:51.177369, 2158.41
2024-11-26 17:28:51.294126, 2194.27
2024-11-26 17:28:51.411698, 2230.17
2024-11-26 17:28:51.531491, 2266.11
2024-11-26 17:28:51.644432, 2302.16
2024-11-26 17:28:51.760176, 2338.20
2024-11-26 17:28:51.878338, 2374.21
2024-11-26 17:28:51.993286, 2410.15
2024-11-26 17:28:52.107596, 2446.12
2024-11-26 17:28:52.226238, 2482.14
2024-11-26 17:28:52.342265, 2518.25
2024-11-26 17:28:52.460680, 2554.47
2024-11-26 17:28:52.575051, 2590.69
2024-11-26 17:28:52.693735, 2626.91
2024-11-26 17:28:52.810209, 2663.05
2024-11-26 17:28:52.925912, 2699.11
2024-11-26 17:28:53.058746, 2735.07
2024-11-26 17:28:53.175067, 2770.93
2024-11-26 17:28:53.291381, 2806.74
2024-11-26 17:28:53.409584, 2842.48
2024-11-26 17:28:53.523696, 2878.23
2024-11-26 17:28:53.641119, 2913.92
2024-11-26 17:28:53.743866, 2949.59
2024-11-26 17:28:53.854494, 2985.21
2024-11-26 17:28:53.975957, 3020.83
2024-11-26 17:28:54.089867, 3056.43
2024-11-26 17:28:54.207211, 3091.95
2024-11-26 17:28:54.323694, 3127.48
2024-11-26 17:28:54.440052, 3163.09
2024-11-26 17:28:54.557525, 3198.71
2024-11-26 17:28:54.678723, 3234.34
2024-11-26 17:28:54.783661, 3269.99
2024-11-26 17:28:54.889243, 3305.65
2024-11-26 17:28:54.993750, 3341.33
2024-11-26 17:28:55.107082, 3377.05
2024-11-26 17:28:55.222409, 3412.77
2024-11-26 17:28:55.339360, 3448.48
2024-11-26 17:28:55.456531, 3484.20
2024-11-26 17:28:55.559577, 3519.92
2024-11-26 17:28:55.657618, 3555.67
2024-11-26 17:28:55.789864, 3591.44
