Time (s), Sensor Value (ADC)
0.19, 0
0.24, 0
0.26, 0
0.33, 0
0.37, 0
0.39, 0
0.45, 0
0.54, 0
0.64, 0
0.72, 0
0.83, 0
0.93, 0
1.03, 0
1.13, 0
1.24, 0
1.34, 0
1.43, 0
1.53, 0
1.63, 0
1.74, 0
1.85, 0
1.94, 0
2.03, 0
2.13, 0
2.23, 0
2.34, 4095
2.44, 4095
2.53, 4095
2.64, 4095
2.73, 0
2.83, 0
2.93, 0
3.04, 0
3.13, 0
3.24, 0
3.34, 0
3.43, 0
3.54, 0
3.64, 0
3.73, 0
3.84, 0
3.94, 0
4.03, 4095
4.12, 4095
4.22, 4095
4.32, 0
4.42, 0
4.52, 0
4.62, 0
4.74, 0
4.82, 0
4.92, 0
5.02, 0
5.12, 0
5.22, 0
5.32, 0
5.43, 0
5.53, 0
5.62, 0
5.73, 0
5.82, 0
5.92, 0
6.04, 0
6.14, 0
6.24, 0
6.34, 4095
6.44, 4095
6.52, 4095
6.62, 0
6.74, 0
6.84, 0
6.94, 0
7.04, 0
7.12, 0
7.22, 0
7.32, 0
7.42, 0
7.52, 0
7.62, 0
7.74, 0
7.84, 0
7.92, 0
8.02, 0
8.12, 0
8.24, 0
8.34, 4095
8.44, 4095
8.54, 4095
8.64, 4095
8.74, 0
8.84, 0
8.92, 0
9.04, 0
9.12, 0
9.22, 0
9.32, 0
9.42, 0
9.52, 0
9.62, 0
9.75, 0
9.82, 0
9.92, 0
10.02, 0
10.12, 0
10.23, 0
10.32, 4095
10.42, 4095
10.52, 4095
10.63, 4095
10.72, 4095
10.83, 4095
10.92, 4095
11.02, 4095
11.12, 0
11.22, 0
11.32, 0
11.43, 0
11.53, 0
11.63, 0
11.73, 0
11.82, 0
11.93, 0
12.03, 0
12.12, 0
12.22, 0
12.33, 0
12.43, 2527
12.53, 4095
12.63, 4095
12.73, 4095
12.83, 4095
12.93, 4095
13.03, 4095
13.12, 0
13.22, 0
13.32, 4095
13.42, 4095
13.52, 0
13.62, 0
13.72, 0
13.83, 0
13.93, 0
14.03, 0
14.13, 0
14.23, 0
14.33, 0
14.43, 0
14.52, 0
14.65, 0
14.73, 4095
14.82, 0
14.93, 0
15.03, 0
15.15, 4095
15.23, 4095
15.32, 0
15.43, 0
15.53, 0
15.64, 0
15.72, 0
15.82, 0
15.95, 0
16.03, 0
16.12, 4095
16.23, 0
16.33, 567
16.43, 4095
16.55, 0
16.65, 0
16.72, 0
16.84, 4095
16.93, 4095
17.03, 0
17.14, 0
17.23, 0
17.33, 0
17.43, 0
17.53, 0
17.63, 0
17.74, 0
17.83, 0
17.94, 4095
18.03, 4095
18.14, 4095
18.23, 1072
18.33, 0
18.43, 0
18.53, 4095
18.63, 4095
18.73, 1413
18.83, 0
18.94, 0
19.04, 0
19.14, 4095
19.24, 0
19.33, 0
19.43, 0
19.53, 0
19.63, 4095
19.73, 4095
19.82, 0
19.93, 0
20.03, 0
20.13, 4095
20.22, 4095
20.33, 0
20.43, 0
20.53, 0
20.63, 4095
20.74, 4095
20.83, 0
20.92, 0
21.02, 4095
21.14, 4095
21.24, 4095
21.32, 0
21.42, 0
21.52, 4095
21.62, 4095
21.72, 0
21.84, 0
21.93, 4095
22.04, 4095
22.14, 3695
22.24, 4095
22.33, 4095
22.44, 4095
22.54, 4095
22.64, 4095
22.72, 4095
22.82, 4095
22.92, 4095
23.02, 4095
23.14, 4095
23.22, 4095
23.32, 4095
23.42, 4095
23.52, 0
23.64, 0
23.74, 0
23.82, 0
23.92, 0
24.02, 0
24.12, 0
24.22, 0
24.32, 0
24.42, 0
24.52, 0
24.62, 0
24.72, 0
24.84, 0
24.94, 4095
25.04, 4095
25.12, 4095
25.24, 4095
25.34, 4095
25.42, 0
25.54, 0
25.64, 718
25.74, 0
25.84, 0
25.92, 0
26.02, 0
26.12, 0
26.24, 0
26.34, 0
26.44, 0
26.53, 0
26.64, 0
26.72, 0
26.82, 0
26.92, 0
27.03, 0
27.12, 0
27.22, 0
27.32, 0
27.42, 0
27.52, 0
27.63, 4095
27.72, 4095
27.83, 4095
27.92, 4095
28.02, 0
28.12, 0
28.22, 0
28.32, 0
28.42, 0
28.53, 0
28.63, 0
28.72, 0
28.83, 0
28.93, 0
29.03, 0
29.12, 0
29.23, 0
29.32, 0
29.42, 0
29.52, 0
29.62, 0
29.72, 0
29.82, 4095
29.92, 4095
30.02, 4095
30.12, 4095
30.23, 0
30.33, 0
30.42, 0
30.53, 0
30.62, 0
30.72, 0
30.82, 0
30.92, 0
31.02, 0
31.12, 0
