Sensor Name: ttx6
Initial Resistance: 80 ohms
Start Time: 2024-11-04 23:02:28
Time (s), Voltage (V)
33.27, 0.2884
33.38, 0.2884
33.48, 0.2884
33.58, 0.2933
33.68, 0.2884
33.79, 0.2884
33.88, 0.2933
33.98, 0.2933
34.08, 0.2981
34.18, 0.3030
34.29, 0.3079
34.39, 0.3030
34.49, 0.3030
34.59, 0.3030
34.69, 0.2981
34.79, 0.2933
34.89, 0.2933
34.99, 0.2884
35.09, 0.2884
35.19, 0.2835
35.30, 0.2835
35.40, 0.2835
35.50, 0.2835
35.60, 0.2884
35.70, 0.2884
35.80, 0.2884
35.90, 0.2884
36.01, 0.2981
36.11, 0.2981
36.21, 0.2981
36.31, 0.3030
36.41, 0.3030
36.51, 0.2981
36.61, 0.2933
36.71, 0.2884
36.81, 0.2835
36.92, 0.2835
37.02, 0.2835
37.12, 0.2835
37.22, 0.2835
37.32, 0.2835
37.42, 0.2835
37.53, 0.2835
37.63, 0.2835
37.73, 0.2884
37.83, 0.2933
37.93, 0.2933
38.03, 0.2933
38.13, 0.3030
38.23, 0.2981
38.34, 0.2933
38.44, 0.2933
38.54, 0.2884
38.64, 0.2884
38.74, 0.2835
38.84, 0.2786
38.95, 0.2786
39.04, 0.2786
39.14, 0.2786
39.25, 0.2786
39.35, 0.2786
39.45, 0.2786
39.55, 0.2835
39.65, 0.2835
39.75, 0.2933
39.86, 0.2933
39.96, 0.2981
40.06, 0.2933
40.16, 0.2933
40.26, 0.2933
40.36, 0.2884
40.47, 0.2835
40.56, 0.2835
40.67, 0.2786
40.77, 0.2737
40.87, 0.2737
40.97, 0.2737
41.07, 0.2737
41.17, 0.2786
41.27, 0.2786
41.37, 0.2835
41.48, 0.2835
41.58, 0.2835
41.68, 0.2933
41.78, 0.2884
41.88, 0.2933
41.98, 0.2933
42.08, 0.2933
42.18, 0.2884
42.28, 0.2835
42.39, 0.2786
42.49, 0.2786
42.59, 0.2737
42.69, 0.2737
42.80, 0.2737
42.89, 0.2737
42.99, 0.2737
43.10, 0.2737
43.20, 0.2737
43.30, 0.2786
43.40, 0.2786
43.50, 0.2835
43.60, 0.2835
43.70, 0.2884
43.80, 0.2884
43.90, 0.2884
44.01, 0.2884
44.11, 0.2835
44.21, 0.2835
44.31, 0.2786
44.41, 0.2737
44.51, 0.2737
44.62, 0.2688
44.72, 0.2737
44.82, 0.2737
44.92, 0.2737
45.02, 0.2786
45.12, 0.2737
45.22, 0.2786
45.32, 0.2786
45.43, 0.2835
45.53, 0.2835
45.63, 0.2884
45.73, 0.2835
45.84, 0.2884
45.93, 0.2835
46.04, 0.2835
46.14, 0.2786
46.24, 0.2737
46.34, 0.2737
46.44, 0.2737
46.54, 0.2688
46.64, 0.2737
46.74, 0.2688
46.84, 0.2688
46.94, 0.2737
47.04, 0.2737
47.15, 0.2737
47.25, 0.2786
47.35, 0.2786
47.45, 0.2835
47.55, 0.2835
47.65, 0.2835
47.76, 0.2835
47.86, 0.2835
47.96, 0.2835
48.06, 0.2786
48.16, 0.2737
48.26, 0.2688
48.37, 0.2737
48.47, 0.2688
48.56, 0.2688
48.67, 0.2688
48.77, 0.2688
48.87, 0.2688
48.97, 0.2688
49.08, 0.2688
49.17, 0.2737
49.28, 0.2737
49.38, 0.2835
49.48, 0.2835
49.58, 0.2835
49.68, 0.2835
49.78, 0.2786
49.89, 0.2786
49.99, 0.2737
50.09, 0.2737
50.19, 0.2688
50.29, 0.2688
50.39, 0.2639
50.49, 0.2688
50.59, 0.2639
50.70, 0.2639
50.79, 0.2639
50.90, 0.2688
50.99, 0.2688
51.10, 0.2688
51.20, 0.2688
51.30, 0.2737
51.40, 0.2786
51.50, 0.2786
51.61, 0.2786
51.70, 0.2786
51.81, 0.2786
51.91, 0.2737
52.01, 0.2737
52.11, 0.2688
52.21, 0.2639
52.31, 0.2590
52.41, 0.2639
52.52, 0.2590
52.62, 0.2639
52.72, 0.2590
52.82, 0.2639
52.92, 0.2639
53.02, 0.2688
53.13, 0.2688
53.23, 0.2737
53.32, 0.2786
53.43, 0.2737
53.53, 0.2786
53.63, 0.2737
53.73, 0.2737
53.83, 0.2688
53.94, 0.2688
